classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,500,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,73264
AutoWeka,AutoWeka,550,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72851
AutoWeka,AutoWeka,600,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72913
AutoWeka,AutoWeka,650,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72928
AutoWeka,AutoWeka,700,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72940
AutoWeka,AutoWeka,750,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,73044
AutoWeka,AutoWeka,800,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72936
AutoWeka,AutoWeka,850,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72950
AutoWeka,AutoWeka,900,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72918
AutoWeka,AutoWeka,950,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72922
AutoWeka,AutoWeka,500,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72936
AutoWeka,AutoWeka,550,audiology,0.9639002995293111,NaN,NaN,0.8666666666666667,0.13333333333333333,72934
AutoWeka,AutoWeka,600,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72950
AutoWeka,AutoWeka,650,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72932
AutoWeka,AutoWeka,700,audiology,0.9828074537857503,NaN,NaN,0.8222222222222222,0.17777777777777778,72917
AutoWeka,AutoWeka,750,audiology,0.9546396787731832,NaN,NaN,0.7777777777777778,0.2222222222222222,72956
AutoWeka,AutoWeka,800,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,75932
AutoWeka,AutoWeka,850,audiology,0.9552244740948207,NaN,NaN,0.7777777777777778,0.2222222222222222,72949
AutoWeka,AutoWeka,900,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72924
AutoWeka,AutoWeka,950,audiology,0.9612817520519703,NaN,NaN,0.8444444444444444,0.15555555555555556,72923
AutoWeka,AutoWeka,500,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72924
AutoWeka,AutoWeka,550,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,84963
AutoWeka,AutoWeka,600,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72968
AutoWeka,AutoWeka,650,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69914
AutoWeka,AutoWeka,700,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72958
AutoWeka,AutoWeka,750,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72927
AutoWeka,AutoWeka,800,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72913
AutoWeka,AutoWeka,850,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72949
AutoWeka,AutoWeka,900,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,69938
AutoWeka,AutoWeka,950,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72941
AutoWeka,AutoWeka,500,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,72938
AutoWeka,AutoWeka,550,balance-scale,0.9989724053724053,0.9842027737924437,0.9848888888888889,0.984,0.016,72939
AutoWeka,AutoWeka,600,balance-scale,0.9398481074481075,0.8208303186907838,0.8112599267811884,0.832,0.168,72910
AutoWeka,AutoWeka,650,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,72938
AutoWeka,AutoWeka,700,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,72916
AutoWeka,AutoWeka,750,balance-scale,0.9365914529914531,0.8208303186907838,0.8112599267811884,0.832,0.168,69946
AutoWeka,AutoWeka,800,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,72911
AutoWeka,AutoWeka,850,balance-scale,0.9377851037851037,0.8208303186907838,0.8112599267811884,0.832,0.168,72946
AutoWeka,AutoWeka,900,balance-scale,0.9365914529914531,0.8208303186907838,0.8112599267811884,0.832,0.168,72948
AutoWeka,AutoWeka,950,balance-scale,0.9984175824175825,0.9777140683687539,0.9825454545454545,0.976,0.024,72930
AutoWeka,AutoWeka,500,breast-cancer,0.6515151515151516,0.5653322495427758,0.5819838056680161,0.5964912280701754,0.40350877192982454,72969
AutoWeka,AutoWeka,550,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,69930
AutoWeka,AutoWeka,600,breast-cancer,0.5946969696969697,0.6386800334168754,0.6432748538011697,0.6491228070175439,0.3508771929824561,69945
AutoWeka,AutoWeka,650,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,72935
AutoWeka,AutoWeka,700,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,72942
AutoWeka,AutoWeka,750,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,69936
AutoWeka,AutoWeka,800,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,69935
AutoWeka,AutoWeka,850,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,69922
AutoWeka,AutoWeka,900,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,72930
AutoWeka,AutoWeka,950,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,69937
AutoWeka,AutoWeka,500,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72937
AutoWeka,AutoWeka,550,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72928
AutoWeka,AutoWeka,600,breast-w,0.9944737554112554,0.9857978279030911,0.986335403726708,0.9857142857142858,0.014285714285714285,69921
AutoWeka,AutoWeka,650,breast-w,0.9940814393939394,0.9712436209199576,0.9715257531584062,0.9714285714285714,0.02857142857142857,72938
AutoWeka,AutoWeka,700,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72930
AutoWeka,AutoWeka,750,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72944
AutoWeka,AutoWeka,800,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72925
AutoWeka,AutoWeka,850,breast-w,0.9959753787878788,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72929
AutoWeka,AutoWeka,900,breast-w,0.9965672348484849,0.9641729838263696,0.964174401479604,0.9642857142857143,0.03571428571428571,72932
AutoWeka,AutoWeka,950,breast-w,0.9966856060606061,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,72920
