ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,randomforest,relieff-attribute-eval,1.0,anneal.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|RELIEFF_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9997938410510996,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,13166.0
2,randomforest,gain-ratio-attribute-eval,50.0,anneal.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|GAIN_RATIO_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9998133674744666,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,11564.0
3,randomforest,no-attribute-selection,100.0,anneal.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9998548350997363,0.9965972248516,0.9966738312212486,0.9966592427616926,0.0033407572383073497,11337.0
4,randomforest,info-gain-attribute-eval,150.0,anneal.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|INFO_GAIN_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9999094327249443,0.9965972248516,0.9966738312212486,0.9966592427616926,0.0033407572383073497,11172.0
5,randomforest,no-attribute-selection,200.0,anneal.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.999882361938404,0.9965972248516,0.9966738312212486,0.9966592427616926,0.0033407572383073497,11298.0
6,randomforest,gain-ratio-attribute-eval,1.0,audiology.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|GAIN_RATIO_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9663210809628914,NaN,NaN,0.7876106194690266,0.21238938053097345,11343.0
7,randomforest,info-gain-attribute-eval,50.0,audiology.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|INFO_GAIN_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9669850734840232,NaN,NaN,0.7964601769911505,0.20353982300884957,11315.0
8,randomforest,info-gain-attribute-eval,100.0,audiology.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|INFO_GAIN_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9684189983977493,NaN,NaN,0.7920353982300885,0.2079646017699115,11305.0
9,randomforest,gain-ratio-attribute-eval,150.0,audiology.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|GAIN_RATIO_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.967694852258585,NaN,NaN,0.7964601769911505,0.20353982300884957,11273.0
10,randomforest,info-gain-attribute-eval,200.0,audiology.arff,LOAD_ARFF|RANDOMIZE|CLASS_ASSIGNER|INFO_GAIN_ATTR_EVAL|STANDARDIZATION|CROSS_VALIDATION_FOLD_MAKER|RANDOM_FOREST|CLASSIFIER_PERFORMANCE_EVALUATOR|RESULT_VIEWER,0,11,0.9638108161692617,NaN,NaN,0.7787610619469026,0.22123893805309736,11138.0
