ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,adaboostm1,wrapper-subset-eval-with-adaboost-operator,0.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9042286765167669,NaN,NaN,0.8363028953229399,0.16369710467706014,7654.0
2,adaboostm1,wrapper-subset-eval-with-adaboost-operator,50.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9067328459498306,NaN,NaN,0.8363028953229399,0.16369710467706014,3835.0
3,adaboostm1,wrapper-subset-eval-with-adaboost-operator,100.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9100956308923766,NaN,NaN,0.8363028953229399,0.16369710467706014,3831.0
4,adaboostm1,wrapper-subset-eval-with-adaboost-operator,150.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.907914688193674,NaN,NaN,0.8363028953229399,0.16369710467706014,3829.0
5,adaboostm1,wrapper-subset-eval-with-adaboost-operator,200.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9025667964296799,NaN,NaN,0.8363028953229399,0.16369710467706014,6836.0
6,adaboostm1,wrapper-subset-eval-with-adaboost-operator,250.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9037522858421375,NaN,NaN,0.8363028953229399,0.16369710467706014,3830.0
7,adaboostm1,wrapper-subset-eval-with-adaboost-operator,300.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9043411837632133,NaN,NaN,0.8363028953229399,0.16369710467706014,3829.0
8,adaboostm1,wrapper-subset-eval-with-adaboost-operator,350.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9008058309631467,NaN,NaN,0.8363028953229399,0.16369710467706014,3832.0
9,adaboostm1,wrapper-subset-eval-with-adaboost-operator,400.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9022549520035611,NaN,NaN,0.8363028953229399,0.16369710467706014,3829.0
10,adaboostm1,wrapper-subset-eval-with-adaboost-operator,450.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9062199606461708,NaN,NaN,0.8363028953229399,0.16369710467706014,3825.0
11,adaboostm1,wrapper-subset-eval-with-adaboost-operator,500.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9019120299006628,NaN,NaN,0.8363028953229399,0.16369710467706014,3832.0
12,adaboostm1,wrapper-subset-eval-with-adaboost-operator,550.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.904117308679106,NaN,NaN,0.8363028953229399,0.16369710467706014,3833.0
13,adaboostm1,wrapper-subset-eval-with-adaboost-operator,600.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9022169492595331,NaN,NaN,0.8363028953229399,0.16369710467706014,3833.0
14,adaboostm1,wrapper-subset-eval-with-adaboost-operator,650.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9028473360648496,NaN,NaN,0.8363028953229399,0.16369710467706014,3833.0
15,adaboostm1,wrapper-subset-eval-with-adaboost-operator,700.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.904003429284716,NaN,NaN,0.8363028953229399,0.16369710467706014,3832.0
16,adaboostm1,wrapper-subset-eval-with-adaboost-operator,750.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9022502411702874,NaN,NaN,0.8363028953229399,0.16369710467706014,3830.0
17,adaboostm1,wrapper-subset-eval-with-adaboost-operator,800.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,0.9000304619317694,NaN,NaN,0.8363028953229399,0.16369710467706014,3829.0
