ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,randomforest,correlation-attribute-eval,1.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9997902861832344,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,4602.0
2,randomforest,correlation-attribute-eval,50.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9997832470454959,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,829.0
3,randomforest,correlation-attribute-eval,100.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9997857961509203,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,819.0
4,randomforest,correlation-attribute-eval,150.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9998591969380896,0.9943795676965484,0.9944810506931401,0.9944320712694877,0.005567928730512249,822.0
5,randomforest,correlation-attribute-eval,200.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9998794152490736,0.9943795676965484,0.9944810506931401,0.9944320712694877,0.005567928730512249,818.0
6,randomforest,correlation-attribute-eval,250.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9997651214607138,0.9965972248516,0.9966738312212486,0.9966592427616926,0.0033407572383073497,817.0
7,randomforest,correlation-attribute-eval,300.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9997576729363936,0.9965972248516,0.9966738312212486,0.9966592427616926,0.0033407572383073497,820.0
8,randomforest,correlation-attribute-eval,350.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9998913192699331,0.9954860333094309,0.9955665326900726,0.9955456570155902,0.004454342984409799,816.0
9,randomforest,correlation-attribute-eval,400.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.999867604559305,0.9943795676965484,0.9944810506931401,0.9944320712694877,0.005567928730512249,816.0
10,randomforest,correlation-attribute-eval,450.0,anneal.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,1,19,0.9982449626534793,0.9932322991873819,0.9933755743518665,0.9933184855233853,0.0066815144766146995,819.0
