classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,info-gain-attribute-eval,1,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,29330
randomforest,info-gain-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,21349
kstar,cfs-subset-eval,1,audiology,0.9538776727480193,NaN,NaN,0.8222222222222222,0.17777777777777778,24186
logitboost,info-gain-attribute-eval,50,audiology,0.9761261398452786,NaN,NaN,0.8222222222222222,0.17777777777777778,21006
randomforest,gain-ratio-attribute-eval,1,autos,0.9829981790187182,NaN,NaN,0.8292682926829268,0.17073170731707318,14786
randomforest,gain-ratio-attribute-eval,50,autos,0.9841725240955023,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,14495
logitboost,gain-ratio-attribute-eval,1,balance-scale,0.967911111111111,NaN,NaN,0.912,0.088,14432
logitboost,gain-ratio-attribute-eval,50,balance-scale,0.967911111111111,NaN,NaN,0.912,0.088,14318
kstar,wrapper-subset-eval-with-adaboost-operator,1,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,14375
kstar,wrapper-subset-eval-with-adaboost-operator,50,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,14476
logistic,no-attribute-selection,1,breast-w,0.9976325757575759,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,17382
smo,no-attribute-selection,50,breast-w,0.9782196969696969,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,17234
decisiontable,info-gain-attribute-eval,1,colic,0.9245283018867925,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,20884
j48,wrapper-subset-eval-with-adaboost-operator,50,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,23519
bagging,correlation-attribute-eval,1,credit-a,0.9,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.15942028985507245,26439
decisiontable,info-gain-attribute-eval,50,credit-a,0.8715811965811966,0.8190047871292292,0.8192555840453203,0.8188405797101449,0.18115942028985507,26470
smo,relieff-attribute-eval,1,credit-g,0.6852910602910603,0.7626888307559854,0.7607487498310583,0.765,0.235,38552
smo,relieff-attribute-eval,50,credit-g,0.694906444906445,0.7685169101197526,0.7672,0.77,0.23,39073
logistic,no-attribute-selection,1,diabetes,0.8415300546448088,0.7384518118232721,0.7456945228684358,0.7467532467532467,0.2532467532467532,17282
smo,no-attribute-selection,50,diabetes,0.7085316411069981,0.7351313616527919,0.7493235930735931,0.7467532467532467,0.2532467532467532,17393
randomforest,cfs-subset-eval,1,glass,0.9546845537397864,0.7900389554459322,0.8456395348837209,0.7906976744186046,0.20930232558139536,14320
randomforest,no-attribute-selection,50,glass,0.9377710559396606,0.8145021645021646,0.8389311270125224,0.813953488372093,0.18604651162790697,14451
logistic,no-attribute-selection,1,heart-c,0.8943355119825707,0.7864190391658485,0.7863808322824718,0.7868852459016393,0.21311475409836064,17326
logistic,no-attribute-selection,50,heart-c,0.8943355119825707,0.7864190391658485,0.7863808322824718,0.7868852459016393,0.21311475409836064,17335
logistic,no-attribute-selection,1,heart-h,0.8857142857142857,0.8436736302719748,0.8533675289919714,0.847457627118644,0.15254237288135594,17366
bagging,correlation-attribute-eval,50,heart-h,0.9107142857142858,0.7966101694915254,0.7966101694915254,0.7966101694915254,0.2033898305084746,17387
bagging,wrapper-subset-eval-with-adaboost-operator,1,heart-statlog,0.7222222222222222,0.7287950491445213,0.7475455820476858,0.7222222222222222,0.2777777777777778,17400
bagging,wrapper-subset-eval-with-adaboost-operator,50,heart-statlog,0.7222222222222222,0.7287950491445213,0.7475455820476858,0.7222222222222222,0.2777777777777778,17450
smo,cfs-subset-eval,1,hepatitis,0.6761904761904762,0.7485701212537176,0.7791563275434243,0.7741935483870968,0.22580645161290322,17448
j48,wrapper-subset-eval-with-adaboost-operator,50,hepatitis,0.6904761904761905,0.7485701212537176,0.7791563275434243,0.7741935483870968,0.22580645161290322,21045
bagging,info-gain-attribute-eval,1,hypothyroid,0.9910828083642262,NaN,NaN,0.9920424403183024,0.007957559681697613,36184
logitboost,info-gain-attribute-eval,50,hypothyroid,0.996298196823638,NaN,NaN,0.993368700265252,0.006631299734748011,35730
randomforest,cfs-subset-eval,1,ionosphere,0.9919507575757576,0.9411428571428573,0.9472527472527472,0.9428571428571428,0.05714285714285714,20397
randomforest,gain-ratio-attribute-eval,50,ionosphere,0.9943181818181817,0.9411428571428573,0.9472527472527472,0.9428571428571428,0.05714285714285714,20413
logitboost,wrapper-subset-eval-with-adaboost-operator,1,iris,0.9639376218323586,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666667,14100
randomforest,correlation-attribute-eval,50,iris,0.9686159844054582,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666667,14189
j48,correlation-attribute-eval,1,kr-vs-kp,0.9999606531575841,0.9968694473343063,0.9968884129991123,0.9968701095461658,0.003129890453834116,32554
j48,correlation-attribute-eval,50,kr-vs-kp,0.9999606531575841,0.9968694473343063,0.9968884129991123,0.9968701095461658,0.003129890453834116,32536
randomforest,cfs-subset-eval,1,labor,0.8333333333333333,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182,14246
j48,wrapper-subset-eval-with-adaboost-operator,50,labor,0.6944444444444445,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.18181818181818182,14372
