classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,info-gain-attribute-eval,1,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,17495
randomforest,info-gain-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15502
randomforest,no-attribute-selection,100,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15209
randomforest,info-gain-attribute-eval,150,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15205
randomforest,info-gain-attribute-eval,200,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15237
randomforest,info-gain-attribute-eval,250,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15203
randomforest,symmetrical-uncert-attribute-eval,300,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15114
randomforest,info-gain-attribute-eval,350,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15237
randomforest,gain-ratio-attribute-eval,400,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15115
randomforest,no-attribute-selection,450,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15234
randomforest,gain-ratio-attribute-eval,500,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15114
randomforest,info-gain-attribute-eval,550,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15077
randomforest,info-gain-attribute-eval,600,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15192
randomforest,gain-ratio-attribute-eval,650,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15039
randomforest,info-gain-attribute-eval,700,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,14982
randomforest,gain-ratio-attribute-eval,750,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15114
randomforest,info-gain-attribute-eval,800,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15043
randomforest,correlation-attribute-eval,850,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15164
randomforest,info-gain-attribute-eval,900,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15094
randomforest,info-gain-attribute-eval,950,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15068
smo,no-attribute-selection,1,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16478
randomforest,relieff-attribute-eval,50,audiology,0.9644558550848665,NaN,NaN,0.8222222222222222,0.17777777777777778,16175
randomforest,correlation-attribute-eval,100,audiology,0.9633718442447582,NaN,NaN,0.8666666666666667,0.13333333333333333,16346
smo,no-attribute-selection,150,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16168
randomforest,gain-ratio-attribute-eval,200,audiology,0.96449864498645,NaN,NaN,0.8444444444444444,0.15555555555555556,16059
smo,no-attribute-selection,250,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16191
randomforest,symmetrical-uncert-attribute-eval,300,audiology,0.9639138496648125,NaN,NaN,0.8666666666666667,0.13333333333333333,16122
smo,no-attribute-selection,350,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16366
randomforest,no-attribute-selection,400,audiology,0.965040650406504,NaN,NaN,0.8444444444444444,0.15555555555555556,16158
smo,no-attribute-selection,450,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16105
randomforest,info-gain-attribute-eval,500,audiology,0.9639138496648125,NaN,NaN,0.8444444444444444,0.15555555555555556,16096
smo,no-attribute-selection,550,audiology,0.9461861339107808,NaN,NaN,0.8222222222222222,0.17777777777777778,16054
