classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,info-gain-attribute-eval,1,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,25731
randomforest,info-gain-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,18192
randomforest,no-attribute-selection,100,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,17950
randomforest,info-gain-attribute-eval,150,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,17805
smo,no-attribute-selection,1,audiology,0.9494185543928805,NaN,NaN,0.8888888888888888,0.1111111111111111,27282
smo,symmetrical-uncert-attribute-eval,50,audiology,0.949110110518968,NaN,NaN,0.8444444444444444,0.15555555555555556,27249
randomforest,correlation-attribute-eval,100,audiology,0.9618966731932072,NaN,NaN,0.8444444444444444,0.15555555555555556,24280
smo,no-attribute-selection,150,audiology,0.949110110518968,NaN,NaN,0.8444444444444444,0.15555555555555556,27134
randomforest,correlation-attribute-eval,1,autos,0.9802881519184472,NaN,NaN,0.8536585365853658,0.14634146341463414,17422
randomforest,symmetrical-uncert-attribute-eval,50,autos,0.9877954024295487,0.8747010999521759,0.9077756931415468,0.8780487804878049,0.12195121951219512,17438
randomforest,symmetrical-uncert-attribute-eval,100,autos,0.9842887916058648,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,17379
randomforest,gain-ratio-attribute-eval,150,autos,0.9915894403699281,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,17496
bagging,relieff-attribute-eval,1,balance-scale,0.9432576312576313,NaN,NaN,0.84,0.16,14337
bagging,correlation-attribute-eval,50,balance-scale,0.957894017094017,NaN,NaN,0.88,0.12,14336
bagging,relieff-attribute-eval,100,balance-scale,0.9566886446886447,NaN,NaN,0.88,0.12,14297
bagging,correlation-attribute-eval,150,balance-scale,0.9448048840048839,NaN,NaN,0.896,0.104,14378
j48,symmetrical-uncert-attribute-eval,1,breast-cancer,0.6912878787878788,0.47753103689456194,0.5491559086395233,0.5789473684210527,0.42105263157894735,14585
j48,symmetrical-uncert-attribute-eval,50,breast-cancer,0.7140151515151516,0.4989878542510121,0.7684210526315789,0.6140350877192983,0.38596491228070173,14469
bagging,symmetrical-uncert-attribute-eval,100,breast-cancer,0.7569444444444443,0.3992740471869329,0.32163742690058483,0.5263157894736842,0.47368421052631576,17486
j48,symmetrical-uncert-attribute-eval,150,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,14474
logistic,no-attribute-selection,1,breast-w,0.9964488636363636,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,14255
randomforest,info-gain-attribute-eval,50,breast-w,0.9959753787878788,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,17193
randomforest,no-attribute-selection,100,breast-w,0.995028409090909,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,17186
logistic,no-attribute-selection,150,breast-w,0.9964488636363636,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,14221
j48,wrapper-subset-eval-with-adaboost-operator,1,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,17452
j48,wrapper-subset-eval-with-adaboost-operator,50,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,17344
j48,wrapper-subset-eval-with-adaboost-operator,100,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,17398
j48,wrapper-subset-eval-with-adaboost-operator,150,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,17405
randomforest,relieff-attribute-eval,1,credit-a,0.9148504273504274,0.8618525763726748,0.8622199621436845,0.8623188405797102,0.13768115942028986,20472
randomforest,info-gain-attribute-eval,50,credit-a,0.9190170940170939,0.855072463768116,0.855072463768116,0.855072463768116,0.14492753623188406,20432
randomforest,symmetrical-uncert-attribute-eval,100,credit-a,0.9107905982905983,0.855072463768116,0.855072463768116,0.855072463768116,0.14492753623188406,20495
logitboost,wrapper-subset-eval-with-adaboost-operator,150,credit-a,0.8307692307692308,0.8268213866039953,0.8331019364267446,0.8260869565217391,0.17391304347826086,17337
randomforest,info-gain-attribute-eval,1,credit-g,0.787551975051975,0.7390235081374321,0.7364880952380952,0.76,0.24,20687
randomforest,info-gain-attribute-eval,50,credit-g,0.7805353430353429,0.7607715491259794,0.761547619047619,0.78,0.22,20720
randomforest,no-attribute-selection,100,credit-g,0.7757276507276507,0.7856575212866603,0.782936194240542,0.79,0.21,20751
randomforest,info-gain-attribute-eval,150,credit-g,0.7599402286902287,0.753157894736842,0.7489976689976688,0.76,0.24,20664
logistic,no-attribute-selection,1,diabetes,0.8415300546448088,0.7384518118232721,0.7456945228684358,0.7467532467532467,0.2532467532467532,14287
logistic,no-attribute-selection,50,diabetes,0.8415300546448088,0.7384518118232721,0.7456945228684358,0.7467532467532467,0.2532467532467532,14347
logistic,no-attribute-selection,100,diabetes,0.8378283095364006,0.7292413468884057,0.7408964385708572,0.7402597402597403,0.2597402597402597,14689
logistic,no-attribute-selection,150,diabetes,0.8415300546448088,0.7384518118232721,0.7456945228684358,0.7467532467532467,0.2532467532467532,14363
randomforest,info-gain-attribute-eval,1,glass,0.883876941725779,0.7188726788322339,0.7282261741906064,0.7209302325581395,0.27906976744186046,17544
randomforest,no-attribute-selection,50,glass,0.9339919861722187,0.7655038759689924,0.7972591362126246,0.7674418604651163,0.23255813953488372,17777
randomforest,relieff-attribute-eval,100,glass,0.8908294611056239,0.7655911272190343,0.7793591497421867,0.7674418604651163,0.23255813953488372,17552
randomforest,info-gain-attribute-eval,150,glass,0.9351816205740625,0.7911225801102681,0.8230343300110743,0.7906976744186046,0.20930232558139536,17361
