classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,gain-ratio-attribute-eval,1,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,22782
randomforest,gain-ratio-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,18018
randomforest,gain-ratio-attribute-eval,100,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,17971
randomforest,gain-ratio-attribute-eval,150,anneal,0.9998454858696828,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,18045
smo,relieff-attribute-eval,1,audiology,0.9494185543928805,NaN,NaN,0.8888888888888888,0.1111111111111111,28576
logitboost,symmetrical-uncert-attribute-eval,50,audiology,0.9751042075329325,NaN,NaN,0.8222222222222222,0.17777777777777778,40269
smo,relieff-attribute-eval,100,audiology,0.9494185543928805,NaN,NaN,0.8888888888888888,0.1111111111111111,28247
logitboost,symmetrical-uncert-attribute-eval,150,audiology,0.9733431779256777,NaN,NaN,0.8666666666666667,0.13333333333333333,40340
randomforest,correlation-attribute-eval,1,autos,0.9802881519184472,NaN,NaN,0.8536585365853658,0.14634146341463414,17866
kstar,cfs-subset-eval,50,autos,0.9120345351410819,NaN,NaN,0.7560975609756098,0.24390243902439024,14896
randomforest,symmetrical-uncert-attribute-eval,100,autos,0.9842887916058648,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,17873
randomforest,gain-ratio-attribute-eval,150,autos,0.9915894403699281,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,17657
kstar,cfs-subset-eval,1,balance-scale,0.9402617826617827,NaN,NaN,0.896,0.104,14767
kstar,cfs-subset-eval,50,balance-scale,0.9531018315018316,NaN,NaN,0.904,0.096,14768
kstar,cfs-subset-eval,100,balance-scale,0.9548395604395605,NaN,NaN,0.896,0.104,14792
kstar,cfs-subset-eval,150,balance-scale,0.9534319902319903,NaN,NaN,0.896,0.104,14706
kstar,wrapper-subset-eval-with-adaboost-operator,1,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,18059
kstar,wrapper-subset-eval-with-adaboost-operator,50,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,18095
j48,wrapper-subset-eval-with-adaboost-operator,100,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,17847
kstar,wrapper-subset-eval-with-adaboost-operator,150,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,18011
randomforest,symmetrical-uncert-attribute-eval,1,breast-w,0.9955018939393939,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,17850
randomforest,relieff-attribute-eval,50,breast-w,0.9923058712121212,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,17782
randomforest,no-attribute-selection,100,breast-w,0.995028409090909,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,20853
randomforest,no-attribute-selection,150,breast-w,0.9952651515151516,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,17745
randomforest,correlation-attribute-eval,1,colic,0.9281221922731356,0.8567138567138567,0.8776439482961222,0.8513513513513513,0.14864864864864866,25881
