classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,gain-ratio-attribute-eval,1,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,18329
smo,relieff-attribute-eval,1,audiology,0.9494185543928805,NaN,NaN,0.8888888888888888,0.1111111111111111,84652
randomforest,no-attribute-selection,1,autos,0.9868112014453478,0.8451803598781329,0.8851916376306621,0.8536585365853658,0.14634146341463414,15403
kstar,cfs-subset-eval,1,balance-scale,0.9402617826617827,NaN,NaN,0.896,0.104,9259
kstar,wrapper-subset-eval-with-adaboost-operator,1,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,8845
randomforest,symmetrical-uncert-attribute-eval,1,breast-w,0.9955018939393939,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,15021
decisiontable,correlation-attribute-eval,1,colic,0.9663072776280323,0.8818371773922649,0.8937543312543312,0.8783783783783784,0.12162162162162163,9175
randomforest,gain-ratio-attribute-eval,1,credit-a,0.9098151244890376,0.8393366669491764,0.8413848631239936,0.8405797101449275,0.15942028985507245,15960
randomforest,gain-ratio-attribute-eval,1,credit-g,0.7969074844074844,0.7525225892460375,0.7502905740609497,0.77,0.23,15349
logitboost,wrapper-subset-eval-with-adaboost-operator,1,diabetes,0.783359774369822,0.6882035968330384,0.6890084915084915,0.6948051948051948,0.3051948051948052,15147
randomforest,relieff-attribute-eval,1,glass,0.9355188036874084,0.7647346725322103,0.791860465116279,0.7674418604651163,0.23255813953488372,11911
kstar,wrapper-subset-eval-with-adaboost-operator,1,heart-c,0.8387799564270153,0.802305890830481,0.803096539162113,0.8032786885245902,0.19672131147540983,12007
randomforest,gain-ratio-attribute-eval,1,heart-h,0.9107142857142858,0.8128888730870618,0.8126995824121838,0.8135593220338984,0.1864406779661017,11941
j48,wrapper-subset-eval-with-adaboost-operator,1,heart-statlog,0.7222222222222222,0.7287950491445213,0.7475455820476858,0.7222222222222222,0.2777777777777778,11933
randomforest,no-attribute-selection,1,hepatitis,0.780952380952381,0.7027649769585254,0.7437275985663083,0.7419354838709677,0.25806451612903225,8952
bagging,symmetrical-uncert-attribute-eval,1,hypothyroid,0.989314425116615,NaN,NaN,0.9920424403183024,0.007957559681697613,30948
randomforest,symmetrical-uncert-attribute-eval,1,ionosphere,0.9933712121212123,0.9411428571428573,0.9472527472527472,0.9428571428571428,0.05714285714285714,12103
logitboost,wrapper-subset-eval-with-adaboost-operator,1,iris,0.9639376218323586,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666667,11812
randomforest,relieff-attribute-eval,1,kr-vs-kp,1.0,1.0,1.0,1.0,0.0,26208
randomforest,gain-ratio-attribute-eval,1,labor,0.9444444444444445,0.9155080213903743,0.9393939393939394,0.9090909090909091,0.09090909090909091,8960
randomforest,no-attribute-selection,1,letter,0.9996829671003313,0.9700576000942593,0.9704496783095814,0.97,0.03,379890
smo,relieff-attribute-eval,1,lymph,0.9553571428571428,0.8996632996632996,0.9013574660633484,0.9,0.1,12133
randomforest,relieff-attribute-eval,1,mushroom,1.0,1.0,1.0,1.0,0.0,86134
smo,gain-ratio-attribute-eval,1,primary-tumor,0.8017828469767068,NaN,NaN,0.45588235294117646,0.5441176470588235,47964
kstar,cfs-subset-eval,1,segment,0.9986119410702795,0.9761688045682841,0.9763741170231924,0.9761904761904762,0.023809523809523808,49309
j48,info-gain-attribute-eval,1,sick,0.9602060438158047,0.98035853992305,0.9807113460099826,0.980106100795756,0.01989389920424403,16305
randomforest,symmetrical-uncert-attribute-eval,1,sonar,0.9411057692307692,0.780474697716077,0.7840090943539219,0.7857142857142857,0.21428571428571427,27189
randomforest,correlation-attribute-eval,1,soybean,0.9930181942955666,0.932732216974381,0.9369114068985259,0.9343065693430657,0.06569343065693431,79458
logitboost,correlation-attribute-eval,1,splice,0.9913736058916298,0.9549132052857606,0.9564174893072943,0.9545454545454546,0.045454545454545456,72186
randomforest,relieff-attribute-eval,1,vehicle,0.9411550835368403,0.7227220443764174,0.7379177252943465,0.727810650887574,0.27218934911242604,16064
ibk,wrapper-subset-eval-with-adaboost-operator,1,vote,0.9732142857142858,0.9658384639719659,0.9685598377281948,0.9655172413793104,0.034482758620689655,12105
randomforest,no-attribute-selection,1,vowel,0.9995536136915448,0.9696636498948593,0.9735318093212829,0.9696969696969697,0.030303030303030304,19172
randomforest,relieff-attribute-eval,1,waveform-5000,0.9723960172898625,0.8593068463887512,0.86111447936222,0.86,0.14,107359
smo,relieff-attribute-eval,1,zoo,0.9493055555555555,0.9444444444444444,0.96,0.95,0.05,12597
