DATASET,DIMENSIONALITY,NUMBEROFCLASSES,MAJORITYCLASSSIZE,MINORITYCLASSSIZE,NUMBEROFSYMBOLICFEATURES,AUTOCORRELATION,NUMBEROFFEATURES,NUMBEROFINSTANCES,MINORITYCLASSPERCENTAGE,MINNOMINALATTDISTINCTVALUES,PERCENTAGEOFNUMERICFEATURES,PERCENTAGEOFBINARYFEATURES,NUMBEROFBINARYFEATURES,MAXNOMINALATTDISTINCTVALUES,MAJORITYCLASSPERCENTAGE,STDVNOMINALATTDISTINCTVALUES,PERCENTAGEOFSYMBOLICFEATURES,MEANNOMINALATTDISTINCTVALUES,NUMBEROFNUMERICFEATURES
iris.arff,0.03333333333333333,3.0,50.0,50.0,1.0,0.9865771812080537,5.0,150.0,33.33333333333333,3.0,80.0,0.0,0.0,3.0,33.33333333333333,0.0,20.0,3.0,4.0
ionosphere.arff,0.09971509971509972,2.0,225.0,126.0,1.0,0.28,35.0,351.0,35.8974358974359,2.0,97.14285714285714,2.857142857142857,1.0,2.0,64.1025641025641,0.0,2.857142857142857,2.0,34.0
credit-a.arff,0.02318840579710145,2.0,383.0,307.0,10.0,0.9782293178519593,16.0,690.0,44.492753623188406,2.0,37.5,31.25,5.0,14.0,55.507246376811594,4.049691346263318,62.5,4.2,6.0
autos.arff,0.12682926829268293,6.0,67.0,3.0,11.0,0.6323529411764706,26.0,205.0,1.4634146341463417,2.0,57.692307692307686,15.384615384615385,4.0,22.0,32.6829268292683,5.796550698475776,42.30769230769231,6.0,15.0
hypothyroid.arff,0.007953340402969246,4.0,3481.0,2.0,23.0,0.8562715460090162,30.0,3772.0,0.05302226935312832,1.0,23.333333333333332,66.66666666666666,20.0,5.0,92.28525980911984,0.7776522892681231,76.66666666666667,2.1739130434782608,7.0
anneal.arff,0.043429844097995544,5.0,684.0,8.0,33.0,0.6064659977703456,39.0,898.0,0.8908685968819599,1.0,15.384615384615385,48.717948717948715,19.0,8.0,76.16926503340757,1.502523130462808,84.61538461538461,2.515151515151515,6.0
heart-h.arff,0.047619047619047616,2.0,188.0,106.0,8.0,0.9965870307167235,14.0,294.0,36.054421768707485,2.0,42.857142857142854,21.428571428571427,3.0,4.0,63.94557823129252,0.7440238091428449,57.14285714285714,2.625,6.0
vote.arff,0.03908045977011494,2.0,267.0,168.0,17.0,0.576036866359447,17.0,435.0,38.62068965517241,2.0,0.0,100.0,17.0,2.0,61.37931034482759,0.0,100.0,2.0,0.0
kr-vs-kp.arff,0.011576971214017523,2.0,1669.0,1527.0,37.0,0.9990610328638497,37.0,3196.0,47.778473091364205,2.0,0.0,94.5945945945946,35.0,3.0,52.221526908635795,0.1643989873053572,100.0,2.027027027027027,0.0
lymph.arff,0.12837837837837837,4.0,81.0,2.0,16.0,0.5034013605442177,19.0,148.0,1.3513513513513513,2.0,15.789473684210526,47.368421052631575,9.0,8.0,54.729729729729726,1.591644851508443,84.21052631578947,3.0,3.0
