ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,randomforest,no-attribute-selection,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7584996816504892,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,1651.0
2,randomforest,info-gain-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7589281576468715,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,860.0
3,randomforest,relieff-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7584996816504892,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,829.0
4,randomforest,correlation-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7589281576468715,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,832.0
5,randomforest,gain-ratio-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7589281576468715,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,824.0
6,randomforest,symmetrical-uncert-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7589281576468715,0.670064874884152,0.6655316919853327,0.6746987951807228,0.3253012048192771,822.0
7,randomforest,cfs-subset-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7836191373995843,NaN,NaN,0.7710843373493976,0.2289156626506024,821.0
8,kstar,cfs-subset-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|kstar-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7825732587379797,NaN,NaN,0.7710843373493976,0.2289156626506024,839.0
9,kstar,wrapper-subset-eval-with-adaboost-operator,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|kstar-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7825732587379797,NaN,NaN,0.7710843373493976,0.2289156626506024,837.0
10,bagging,relieff-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|relieff-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,828.0
11,bagging,info-gain-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|info-gain-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,822.0
12,bagging,no-attribute-selection,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,818.0
13,bagging,symmetrical-uncert-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,820.0
14,bagging,correlation-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,819.0
15,bagging,cfs-subset-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|cfs-subset-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.8075808521367848,NaN,NaN,0.7710843373493976,0.2289156626506024,822.0
16,bagging,gain-ratio-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|gain-ratio-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.7999218941626343,NaN,NaN,0.7469879518072289,0.25301204819277107,828.0
17,bagging,wrapper-subset-eval-with-adaboost-operator,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.8075808521367848,NaN,NaN,0.7710843373493976,0.2289156626506024,828.0
18,logitboost,no-attribute-selection,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.787644486514269,0.6984844138458596,0.6775793877597678,0.7228915662650602,0.27710843373493976,822.0
19,logitboost,symmetrical-uncert-attribute-eval,1.0,analcatdata_asbestos.arff,load-arff-operator|randomize-operator|class-assigner-operator|symmetrical-uncert-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|logitboost-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.787644486514269,0.6984844138458596,0.6775793877597678,0.7228915662650602,0.27710843373493976,821.0
