allbp.arff,1,17,30,71,58,84,45,34,33,19,73,86,60,47,57,70,44,16,29,83,65,91,52,39,24,78,99,31,104,38,90,97,100,77,64,23,103,51,96,88,62,75,21,36,101,98,49,72,32,18,85,59,46,35,20,74,61,87,48,15,28,56,82,43,69,11,10,7,5,6,9,37,89,63,76,22,50,102,4,40,25,79,92,66,53,105,8,12,95,3,26,27,93,80,67,94,13,54,14,55,81
bodyfat.arff,12,31,59,18,46,85,72,98,5,101,8,32,53,92,105,66,79,40,25,12,7,45,71,84,30,58,17,100,97,4,34,20,48,61,74,87,41,106,93,80,26,54,67,13,36,21,75,49,88,62,39,91,24,78,52,65,104,11,102,9,37,22,63,50,76,89,103,10,99,6,33,86,19,73,60,47,35,38,64,23,77,51,90,96,3,29,16,57,83,70,44,27,94,28,68,81,42,55,14,82,15
car.arff,11,31,85,59,46,18,72,32,40,53,92,66,79,25,36,21,62,49,75,88,7,34,74,61,20,87,48,17,8,5,84,58,45,71,30,12,39,91,24,78,65,52,35,37,76,22,63,89,50,33,38,19,90,23,51,86,73,60,64,77,100,47,11,6,10,13,4,105,101,104,98,97,41,80,93,29,103,99,9,54,67,26,70,16,44,83,3,106,102,57,96,27,28,14,94,55,42,68,81,69,95
churn.arff,0,35,100,8,32,99,7,34,20,86,73,60,40,47,104,65,78,25,52,91,12,36,87,74,61,21,48,39,90,24,103,77,64,11,51,58,84,6,31,71,18,45,98,30,41,79,66,105,92,26,13,53,83,17,70,57,44,96,33,85,59,19,72,46,4,97,5,37,75,22,62,88,49,38,76,63,102,89,23,50,10,101,29,69,56,16,95,82,9,3,27,28,14,80,54,15,67,93,81,68,94
cpu.arff,2,85,46,59,31,72,18,98,7,34,87,20,74,48,61,8,5,53,40,101,32,25,66,79,92,35,17,58,30,100,97,45,13,12,71,106,41,80,93,67,26,54,84,4,104,36,88,62,75,21,49,105,11,39,24,52,78,91,65,33,99,19,73,47,60,6,86,103,37,89,22,76,9,63,50,38,51,90,64,23,77,10,102,29,70,44,57,16,83,96,3,27,28,94,14,42,81,55,68,95,56
dataset_185_yeast.arff,8,34,100,33,19,86,60,73,47,65,24,78,52,91,35,48,61,74,20,87,39,99,30,31,45,84,7,58,17,71,104,97,11,6,44,29,16,57,83,70,96,38,64,23,77,90,103,51,32,85,46,18,59,72,98,5,4,10,36,21,88,49,62,75,40,25,66,92,53,105,79,12,101,37,89,63,22,76,50,102,9,28,15,95,82,69,56,43,8,3,26,27,67,93,80,54,41,13,68,42,55
dataset_186_satimage.arff,3,46,85,59,18,72,66,79,92,25,31,53,40,17,30,71,45,58,84,34,20,87,48,74,61,105,97,100,101,98,36,75,62,88,21,49,35,32,37,22,63,50,76,89,33,19,60,86,47,73,39,52,104,91,78,65,24,99,102,103,83,70,29,57,16,44,12,96,4,5,38,90,51,77,64,23,8,7,6,11,9,10,3,41,106,26,93,67,54,80,13,27,28,81,55,94,68,14,56,43,42
dataset_23_cmc.arff,11,31,85,59,46,18,72,32,40,53,92,66,79,25,36,21,62,49,75,88,7,34,74,61,20,87,48,17,8,5,84,58,45,71,30,12,39,91,24,78,65,52,35,37,76,22,63,89,50,33,38,19,90,23,51,86,73,60,64,77,100,47,11,6,10,13,4,105,101,104,98,97,41,80,93,29,103,99,9,54,67,26,70,16,44,83,3,106,102,57,96,27,28,14,94,55,42,68,81,69,95
dataset_28_optdigits.arff,7,97,30,84,17,71,58,45,57,29,96,16,83,70,44,104,31,99,52,65,24,39,78,91,100,19,33,73,60,86,47,35,87,20,74,61,48,34,28,82,56,15,69,43,95,103,37,89,76,63,22,50,102,98,85,72,32,59,18,46,38,23,64,90,77,51,62,101,21,75,49,88,36,7,8,12,5,4,11,6,9,3,10,40,105,79,25,66,92,53,26,93,27,13,67,81,54,14,41,68,55
dataset_30_page-blocks.arff,0,35,100,8,32,99,7,34,20,86,73,60,40,47,104,65,78,25,52,91,12,36,87,74,61,21,48,39,90,24,103,77,64,11,51,58,84,6,31,71,18,45,98,30,41,79,66,105,92,26,13,53,83,17,70,57,44,96,33,85,59,19,72,46,4,97,5,37,75,22,62,88,49,38,76,63,102,89,23,50,10,101,29,69,56,16,95,82,9,3,27,28,14,80,54,15,67,93,81,68,94
dataset_39_ecoli.arff,8,34,100,33,19,86,60,73,47,65,24,78,52,91,35,48,61,74,20,87,39,99,30,31,45,84,7,58,17,71,104,97,11,6,44,29,16,57,83,70,96,38,64,23,77,90,103,51,32,85,46,18,59,72,98,5,4,10,36,21,88,49,62,75,40,25,66,92,53,105,79,12,101,37,89,63,22,76,50,102,9,28,15,95,82,69,56,43,8,3,26,27,67,93,80,54,41,13,68,42,55
dataset_48_tae.arff,4,32,31,59,46,72,18,85,36,62,49,21,75,88,8,5,66,25,40,92,34,87,48,79,53,74,20,61,45,7,98,35,30,17,71,12,58,101,84,100,4,41,26,80,54,93,67,13,105,39,97,91,52,78,24,65,11,106,104,99,33,19,60,47,86,73,6,38,51,90,10,77,64,23,37,76,22,89,50,63,9,102,29,16,57,83,70,44,3,103,96,27,28,55,42,94,81,14,68,43,82
dataset_50_tic-tac-toe.arff,11,31,85,59,46,18,72,32,40,53,92,66,79,25,36,21,62,49,75,88,7,34,74,61,20,87,48,17,8,5,84,58,45,71,30,12,39,91,24,78,65,52,35,37,76,22,63,89,50,33,38,19,90,23,51,86,73,60,64,77,100,47,11,6,10,13,4,105,101,104,98,97,41,80,93,29,103,99,9,54,67,26,70,16,44,83,3,106,102,57,96,27,28,14,94,55,42,68,81,69,95
phpGuu4iR.arff,11,31,85,59,46,18,72,32,40,53,92,66,79,25,36,21,62,49,75,88,7,34,74,61,20,87,48,17,8,5,84,58,45,71,30,12,39,91,24,78,65,52,35,37,76,22,63,89,50,33,38,19,90,23,51,86,73,60,64,77,100,47,11,6,10,13,4,105,101,104,98,97,41,80,93,29,103,99,9,54,67,26,70,16,44,83,3,106,102,57,96,27,28,14,94,55,42,68,81,69,95
pollen.arff,4,32,31,59,46,72,18,85,36,62,49,21,75,88,8,5,66,25,40,92,34,87,48,79,53,74,20,61,45,7,98,35,30,17,71,12,58,101,84,100,4,41,26,80,54,93,67,13,105,39,97,91,52,78,24,65,11,106,104,99,33,19,60,47,86,73,6,38,51,90,10,77,64,23,37,76,22,89,50,63,9,102,29,16,57,83,70,44,3,103,96,27,28,55,42,94,81,14,68,43,82
analcatdata_asbestos.arff,10,31,59,85,18,46,72,35,84,34,20,87,45,13,41,54,61,74,48,7,17,71,36,75,21,62,88,49,32,8,53,66,40,30,80,67,26,93,58,39,79,24,52,91,78,65,98,5,25,101,33,86,73,19,106,60,47,92,12,97,6,104,11,100,105,99,4,103,37,89,76,50,22,63,9,38,90,77,23,64,51,10,102,29,83,44,57,16,70,96,3,27,28,81,94,68,55,42,14,15,56
