ID,CLASSIFIER,ATTRIBUTESELECTION,SEED,DATASET,FLOW,RANK,CLUSTER,WEIGHTEDAREAUNDERROC,WEIGHTEDFMEASURE,WEIGHTEDPRECISION,WEIGHTEDRECALL,ERRORRATE,TIMEELAPSED
1,vote,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|vote-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.4932664026323633,NaN,NaN,0.9567868504772005,0.043213149522799574,16739.0
2,stacking,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|stacking-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.4932664026323633,NaN,NaN,0.9567868504772005,0.043213149522799574,12851.0
3,smo,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|smo-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.5036242858550943,NaN,NaN,0.9567868504772005,0.043213149522799574,12856.0
4,randomsubspace,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|randomsubspace-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9584868707440123,NaN,NaN,0.9599681866383881,0.04003181336161188,12854.0
5,lwl,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|lwl-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.8837934643591724,NaN,NaN,0.9567868504772005,0.043213149522799574,12856.0
6,kstar,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|kstar-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9577760726453148,NaN,NaN,0.9647401908801697,0.03525980911983033,15848.0
7,j48,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|j48-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.841990644542951,0.9648783756463488,0.9627740113988486,0.9679215270413574,0.03207847295864263,12833.0
8,decisiontable,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|decisiontable-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.970065587074975,0.9681641543296106,0.9671945015344035,0.9700424178154825,0.0299575821845175,12845.0
9,bagging,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|bagging-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.9685465953652664,0.9683829917642789,0.9675605948096953,0.971102863202545,0.028897136797454932,12847.0
10,adaboostm1,wrapper-subset-eval-with-adaboost-operator,1.0,allbp.arff,load-arff-operator|randomize-operator|class-assigner-operator|wrapper-subset-eval-with-adaboost-operator|standardization-operator|cross-validation-fold-maker-operator|adaboostm1-operator|classifier-performance-evaluator-operator|result-viewer-operator,-1,-1,0.8949638461857435,NaN,NaN,0.9567868504772005,0.043213149522799574,12841.0
