task_id,data_id,url,number_of_instances,name,default_target_attribute,ignore_attribute
2,2,https://www.openml.org/data/download/1666876/phpFsFYVN,898.0,anneal,class,NULL
5,5,https://www.openml.org/data/download/5/dataset_5_arrhythmia.arff,452.0,arrhythmia,class,NULL
7,7,https://www.openml.org/data/download/7/dataset_7_audiology.arff,226.0,audiology,class,NULL
8,8,https://www.openml.org/data/download/8/dataset_8_liver-disorders.arff,345.0,liver-disorders,drinks,""selector""
9,9,https://www.openml.org/data/download/9/dataset_9_autos.arff,205.0,autos,symboling,NULL
10,10,https://www.openml.org/data/download/10/dataset_10_lymph.arff,148.0,lymph,class,NULL
11,11,https://www.openml.org/data/download/11/dataset_11_balance-scale.arff,625.0,balance-scale,class,NULL
13,13,https://www.openml.org/data/download/13/dataset_13_breast-cancer.arff,286.0,breast-cancer,Class,NULL
15,15,https://www.openml.org/data/download/52350/openml_phpJNxH0q,699.0,breast-w,Class,NULL
25,25,https://www.openml.org/data/download/25/dataset_25_colic.arff,368.0,colic,surgical_lesion,Hospital_Number
27,27,https://www.openml.org/data/download/27/dataset_27_colic.arff,368.0,colic,surgical_lesion,NULL
29,29,https://www.openml.org/data/download/29/dataset_29_credit-a.arff,690.0,credit-approval,class,NULL
31,31,https://www.openml.org/data/download/31/dataset_31_credit-g.arff,1000.0,credit-g,class,NULL
35,35,https://www.openml.org/data/download/35/dataset_35_dermatology.arff,366.0,dermatology,class,NULL
37,37,https://www.openml.org/data/download/37/dataset_37_diabetes.arff,768.0,diabetes,class,NULL
38,39,https://www.openml.org/data/download/39/dataset_39_ecoli.arff,336.0,ecoli,class,NULL
39,40,https://www.openml.org/data/download/40/dataset_40_sonar.arff,208.0,sonar,Class,NULL
40,41,https://www.openml.org/data/download/41/dataset_41_glass.arff,214.0,glass,Type,NULL
41,42,https://www.openml.org/data/download/42/dataset_42_soybean.arff,683.0,soybean,class,NULL
42,43,https://www.openml.org/data/download/43/dataset_43_haberman.arff,306.0,haberman,Survival_status,NULL
47,48,https://www.openml.org/data/download/48/dataset_48_tae.arff,151.0,tae,Class_attribute,NULL
48,49,https://www.openml.org/data/download/49/dataset_49_heart-c.arff,303.0,heart-c,num,NULL
49,50,https://www.openml.org/data/download/50/dataset_50_tic-tac-toe.arff,958.0,tic-tac-toe,Class,NULL
50,51,https://www.openml.org/data/download/51/dataset_51_heart-h.arff,294.0,heart-h,num,NULL
52,53,https://www.openml.org/data/download/53/dataset_53_heart-statlog.arff,270.0,heart-statlog,class,NULL
53,54,https://www.openml.org/data/download/54/dataset_54_vehicle.arff,846.0,vehicle,Class,NULL
54,55,https://www.openml.org/data/download/55/dataset_55_hepatitis.arff,155.0,hepatitis,Class,NULL
55,56,https://www.openml.org/data/download/56/dataset_56_vote.arff,435.0,vote,Class,NULL
57,59,https://www.openml.org/data/download/59/dataset_59_ionosphere.arff,351.0,ionosphere,class,NULL
59,61,https://www.openml.org/data/download/61/dataset_61_iris.arff,150.0,iris,class,NULL
60,62,https://www.openml.org/data/download/52352/openml_phpZNNasq,101.0,zoo,type,animal
232,2,https://www.openml.org/data/download/1666876/phpFsFYVN,898.0,anneal,class,NULL
235,5,https://www.openml.org/data/download/5/dataset_5_arrhythmia.arff,452.0,arrhythmia,class,NULL
237,7,https://www.openml.org/data/download/7/dataset_7_audiology.arff,226.0,audiology,class,NULL
238,8,https://www.openml.org/data/download/8/dataset_8_liver-disorders.arff,345.0,liver-disorders,drinks,""selector""
239,9,https://www.openml.org/data/download/9/dataset_9_autos.arff,205.0,autos,symboling,NULL
240,10,https://www.openml.org/data/download/10/dataset_10_lymph.arff,148.0,lymph,class,NULL
241,11,https://www.openml.org/data/download/11/dataset_11_balance-scale.arff,625.0,balance-scale,class,NULL
243,13,https://www.openml.org/data/download/13/dataset_13_breast-cancer.arff,286.0,breast-cancer,Class,NULL
245,15,https://www.openml.org/data/download/52350/openml_phpJNxH0q,699.0,breast-w,Class,NULL
255,25,https://www.openml.org/data/download/25/dataset_25_colic.ORIG.arff,368.0,colic,surgical_lesion,Hospital_Number
257,27,https://www.openml.org/data/download/27/dataset_27_colic.arff,368.0,colic,surgical_lesion,NULL
259,29,https://www.openml.org/data/download/29/dataset_29_credit-a.arff,690.0,credit-approval,class,NULL
261,31,https://www.openml.org/data/download/31/dataset_31_credit-g.arff,1000.0,credit-g,class,NULL
265,35,https://www.openml.org/data/download/35/dataset_35_dermatology.arff,366.0,dermatology,class,NULL
267,37,https://www.openml.org/data/download/37/dataset_37_diabetes.arff,768.0,diabetes,class,NULL
268,39,https://www.openml.org/data/download/39/dataset_39_ecoli.arff,336.0,ecoli,class,NULL
269,40,https://www.openml.org/data/download/40/dataset_40_sonar.arff,208.0,sonar,Class,NULL
270,41,https://www.openml.org/data/download/41/dataset_41_glass.arff,214.0,glass,Type,NULL
271,42,https://www.openml.org/data/download/42/dataset_42_soybean.arff,683.0,soybean,class,NULL
272,43,https://www.openml.org/data/download/43/dataset_43_haberman.arff,306.0,haberman,Survival_status,NULL
277,48,https://www.openml.org/data/download/48/dataset_48_tae.arff,151.0,tae,Class_attribute,NULL
278,49,https://www.openml.org/data/download/49/dataset_49_heart-c.arff,303.0,heart-c,num,NULL
279,50,https://www.openml.org/data/download/50/dataset_50_tic-tac-toe.arff,958.0,tic-tac-toe,Class,NULL
280,51,https://www.openml.org/data/download/51/dataset_51_heart-h.arff,294.0,heart-h,num,NULL
282,53,https://www.openml.org/data/download/53/dataset_53_heart-statlog.arff,270.0,heart-statlog,class,NULL
283,54,https://www.openml.org/data/download/54/dataset_54_vehicle.arff,846.0,vehicle,Class,NULL
284,55,https://www.openml.org/data/download/55/dataset_55_hepatitis.arff,155.0,hepatitis,Class,NULL
285,56,https://www.openml.org/data/download/56/dataset_56_vote.arff,435.0,vote,Class,NULL
287,59,https://www.openml.org/data/download/59/dataset_59_ionosphere.arff,351.0,ionosphere,class,NULL
289,61,https://www.openml.org/data/download/61/dataset_61_iris.arff,150.0,iris,class,NULL
290,62,https://www.openml.org/data/download/52352/openml_phpZNNasq,101.0,zoo,type,animal
1766,2,https://www.openml.org/data/download/1666876/phpFsFYVN,898.0,anneal,class,NULL
1769,5,https://www.openml.org/data/download/5/dataset_5_arrhythmia.arff,452.0,arrhythmia,class,NULL
1771,7,https://www.openml.org/data/download/7/dataset_7_audiology.arff,226.0,audiology,class,NULL
1772,8,https://www.openml.org/data/download/8/dataset_8_liver-disorders.arff,345.0,liver-disorders,drinks,""selector""
1773,9,https://www.openml.org/data/download/9/dataset_9_autos.arff,205.0,autos,symboling,NULL
1774,10,https://www.openml.org/data/download/10/dataset_10_lymph.arff,148.0,lymph,class,NULL
1775,11,https://www.openml.org/data/download/11/dataset_11_balance-scale.arff,625.0,balance-scale,class,NULL
1777,13,https://www.openml.org/data/download/13/dataset_13_breast-cancer.arff,286.0,breast-cancer,Class,NULL
1779,15,https://www.openml.org/data/download/52350/openml_phpJNxH0q,699.0,breast-w,Class,NULL
1789,25,https://www.openml.org/data/download/25/dataset_25_colic.arff,368.0,colic,surgical_lesion,Hospital_Number
1791,27,https://www.openml.org/data/download/27/dataset_27_colic.arff,368.0,colic,surgical_lesion,NULL
1793,29,https://www.openml.org/data/download/29/dataset_29_credit-a.arff,690.0,credit-approval,class,NULL
1795,31,https://www.openml.org/data/download/31/dataset_31_credit-g.arff,1000.0,credit-g,class,NULL
1799,35,https://www.openml.org/data/download/35/dataset_35_dermatology.arff,366.0,dermatology,class,NULL
1801,37,https://www.openml.org/data/download/37/dataset_37_diabetes.arff,768.0,diabetes,class,NULL
1802,39,https://www.openml.org/data/download/39/dataset_39_ecoli.arff,336.0,ecoli,class,NULL
1803,40,https://www.openml.org/data/download/40/dataset_40_sonar.arff,208.0,sonar,Class,NULL
1804,41,https://www.openml.org/data/download/41/dataset_41_glass.arff,214.0,glass,Type,NULL
1805,42,https://www.openml.org/data/download/42/dataset_42_soybean.arff,683.0,soybean,class,NULL
1806,43,https://www.openml.org/data/download/43/dataset_43_haberman.arff,306.0,haberman,Survival_status,NULL
1811,48,https://www.openml.org/data/download/48/dataset_48_tae.arff,151.0,tae,Class_attribute,NULL
1812,49,https://www.openml.org/data/download/49/dataset_49_heart-c.arff,303.0,heart-c,num,NULL
1813,50,https://www.openml.org/data/download/50/dataset_50_tic-tac-toe.arff,958.0,tic-tac-toe,Class,NULL
1814,51,https://www.openml.org/data/download/51/dataset_51_heart-h.arff,294.0,heart-h,num,NULL
1816,53,https://www.openml.org/data/download/53/dataset_53_heart-statlog.arff,270.0,heart-statlog,class,NULL
1817,54,https://www.openml.org/data/download/54/dataset_54_vehicle.arff,846.0,vehicle,Class,NULL
1818,55,https://www.openml.org/data/download/55/dataset_55_hepatitis.arff,155.0,hepatitis,Class,NULL
1819,56,https://www.openml.org/data/download/56/dataset_56_vote.arff,435.0,vote,Class,NULL
1821,59,https://www.openml.org/data/download/59/dataset_59_ionosphere.arff,351.0,ionosphere,class,NULL
1823,61,https://www.openml.org/data/download/61/dataset_61_iris.arff,150.0,iris,class,NULL
1824,62,https://www.openml.org/data/download/52352/openml_phpZNNasq,101.0,zoo,type,animal
1882,2,https://www.openml.org/data/download/1666876/phpFsFYVN,898.0,anneal,class,NULL
1885,5,https://www.openml.org/data/download/5/dataset_5_arrhythmia.arff,452.0,arrhythmia,class,NULL
1887,7,https://www.openml.org/data/download/7/dataset_7_audiology.arff,226.0,audiology,class,NULL
1888,8,https://www.openml.org/data/download/8/dataset_8_liver-disorders.arff,345.0,liver-disorders,drinks,""selector""
1889,9,https://www.openml.org/data/download/9/dataset_9_autos.arff,205.0,autos,symboling,NULL
1890,10,https://www.openml.org/data/download/10/dataset_10_lymph.arff,148.0,lymph,class,NULL
1891,11,https://www.openml.org/data/download/11/dataset_11_balance-scale.arff,625.0,balance-scale,class,NULL
1893,13,https://www.openml.org/data/download/13/dataset_13_breast-cancer.arff,286.0,breast-cancer,Class,NULL
1895,15,https://www.openml.org/data/download/52350/openml_phpJNxH0q,699.0,breast-w,Class,NULL
1905,25,https://www.openml.org/data/download/25/dataset_25_colic.ORIG.arff,368.0,colic,surgical_lesion,Hospital_Number
1907,27,https://www.openml.org/data/download/27/dataset_27_colic.arff,368.0,colic,surgical_lesion,NULL
1909,29,https://www.openml.org/data/download/29/dataset_29_credit-a.arff,690.0,credit-approval,class,NULL
1911,31,https://www.openml.org/data/download/31/dataset_31_credit-g.arff,1000.0,credit-g,class,NULL
1915,35,https://www.openml.org/data/download/35/dataset_35_dermatology.arff,366.0,dermatology,class,NULL
1917,37,https://www.openml.org/data/download/37/dataset_37_diabetes.arff,768.0,diabetes,class,NULL
1918,39,https://www.openml.org/data/download/39/dataset_39_ecoli.arff,336.0,ecoli,class,NULL
1919,40,https://www.openml.org/data/download/40/dataset_40_sonar.arff,208.0,sonar,Class,NULL
1920,41,https://www.openml.org/data/download/41/dataset_41_glass.arff,214.0,glass,Type,NULL
1921,42,https://www.openml.org/data/download/42/dataset_42_soybean.arff,683.0,soybean,class,NULL
1922,43,https://www.openml.org/data/download/43/dataset_43_haberman.arff,306.0,haberman,Survival_status,NULL
1927,48,https://www.openml.org/data/download/48/dataset_48_tae.arff,151.0,tae,Class_attribute,NULL
1928,49,https://www.openml.org/data/download/49/dataset_49_heart-c.arff,303.0,heart-c,num,NULL
1929,50,https://www.openml.org/data/download/50/dataset_50_tic-tac-toe.arff,958.0,tic-tac-toe,Class,NULL
1930,51,https://www.openml.org/data/download/51/dataset_51_heart-h.arff,294.0,heart-h,num,NULL
1932,53,https://www.openml.org/data/download/53/dataset_53_heart-statlog.arff,270.0,heart-statlog,class,NULL
1933,54,https://www.openml.org/data/download/54/dataset_54_vehicle.arff,846.0,vehicle,Class,NULL
