classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,1,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,64410
AutoWeka,AutoWeka,50,anneal,0.9883650859871135,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,72876
AutoWeka,AutoWeka,100,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,57870
AutoWeka,AutoWeka,150,anneal,0.9961050850600289,0.9713483146067416,0.9723466003316751,0.9722222222222222,0.027777777777777776,57880
AutoWeka,AutoWeka,200,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,60858
AutoWeka,AutoWeka,1,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,57887
AutoWeka,AutoWeka,50,audiology,0.9142698240527897,NaN,NaN,0.7111111111111111,0.28888888888888886,63865
AutoWeka,AutoWeka,100,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,60876
AutoWeka,AutoWeka,150,audiology,0.9414191659859181,NaN,NaN,0.7111111111111111,0.28888888888888886,57873
AutoWeka,AutoWeka,200,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,57861
AutoWeka,AutoWeka,1,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,54885
AutoWeka,AutoWeka,50,autos,0.8502081145213367,NaN,NaN,0.7073170731707317,0.2926829268292683,54900
AutoWeka,AutoWeka,100,autos,0.6512765653972329,NaN,NaN,0.4146341463414634,0.5853658536585366,72964
AutoWeka,AutoWeka,150,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,57920
AutoWeka,AutoWeka,200,autos,0.9561498597442115,0.8323952470293935,0.8551367331855138,0.8292682926829268,0.17073170731707318,54910
AutoWeka,AutoWeka,1,balance-scale,0.981520879120879,NaN,NaN,0.888,0.112,57936
AutoWeka,AutoWeka,50,balance-scale,0.9649768009768009,NaN,NaN,0.88,0.12,57913
AutoWeka,AutoWeka,100,balance-scale,0.9907711843711843,0.9273962264150943,0.9386666666666668,0.92,0.08,57938
AutoWeka,AutoWeka,150,balance-scale,0.8562271062271062,0.8200201257861635,0.850104124408384,0.792,0.208,54917
AutoWeka,AutoWeka,200,balance-scale,0.9545699633699632,NaN,NaN,0.928,0.072,57938
