classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,1,anneal,0.9418957605052293,0.9497733852450834,0.9526094276094276,0.95,0.05,758542
AutoWeka,AutoWeka,50,anneal,0.9881661490443301,0.9770033670033671,0.9781746031746033,0.9777777777777777,0.022222222222222223,763658
AutoWeka,AutoWeka,1,audiology,0.9526561552474321,NaN,NaN,0.8,0.2,763914
AutoWeka,AutoWeka,50,audiology,0.9510827835328537,NaN,NaN,0.8,0.2,782187
AutoWeka,AutoWeka,1,autos,0.9586602006370941,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,757674
AutoWeka,AutoWeka,50,autos,0.9829268292682927,NaN,NaN,0.9024390243902439,0.0975609756097561,781759
AutoWeka,AutoWeka,1,balance-scale,0.993684004884005,0.92,0.92,0.92,0.08,784631
AutoWeka,AutoWeka,50,balance-scale,0.9917284493284493,0.9544590139479376,0.9581207043108683,0.952,0.048,758339
AutoWeka,AutoWeka,1,breast-cancer,0.5833333333333334,0.4743260590500642,0.4887218045112782,0.543859649122807,0.45614035087719296,755095
AutoWeka,AutoWeka,50,breast-cancer,0.6818181818181818,0.6233082706766918,0.7956656346749227,0.6842105263157895,0.3157894736842105,758091
AutoWeka,AutoWeka,1,breast-w,0.9955390963203462,0.9857978279030911,0.986335403726708,0.9857142857142858,0.014285714285714285,757985
AutoWeka,AutoWeka,50,breast-w,0.9940814393939394,0.9857978279030911,0.986335403726708,0.9857142857142858,0.014285714285714285,755360
AutoWeka,AutoWeka,1,colic,0.9034141958670261,0.8818371773922649,0.8937543312543312,0.8783783783783784,0.12162162162162163,757966
AutoWeka,AutoWeka,50,colic,0.9380053908355795,0.8961279646993934,0.9217148182665424,0.8918918918918919,0.10810810810810811,830089
AutoWeka,AutoWeka,1,credit-a,0.8908119658119658,0.8252623688155922,0.8258597182245114,0.8260869565217391,0.17391304347826086,754996
AutoWeka,AutoWeka,50,credit-a,0.9061501300631736,0.840237679915674,0.8402548725637181,0.8405797101449275,0.15942028985507245,995109
AutoWeka,AutoWeka,1,credit-g,0.7123180873180872,0.6912940387918396,0.6901782388933227,0.735,0.265,839232
