classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,50,anneal,0.988211344427448,0.954866692180125,0.9546337448559671,0.9555555555555556,0.044444444444444446,905909
AutoWeka,AutoWeka,50,audiology,0.9142698240527897,NaN,NaN,0.7111111111111111,0.28888888888888886,848403
AutoWeka,AutoWeka,50,autos,0.9758055855616833,0.9027913279132791,0.9317073170731708,0.9024390243902439,0.0975609756097561,836380
AutoWeka,AutoWeka,50,balance-scale,0.9980669108669108,0.9777268920534152,0.9825454545454545,0.976,0.024,781962
AutoWeka,AutoWeka,50,breast-cancer,0.6035353535353535,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,776206
AutoWeka,AutoWeka,50,breast-w,0.9906452922077922,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,773159
AutoWeka,AutoWeka,50,colic,0.9559748427672956,0.9215540540540541,0.9369369369369369,0.918918918918919,0.08108108108108109,884517
AutoWeka,AutoWeka,50,credit-a,0.8933760683760684,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.13043478260869565,800281
AutoWeka,AutoWeka,50,credit-g,0.7906704781704782,0.757304659498208,0.7534892787524367,0.77,0.23,881407
AutoWeka,AutoWeka,50,diabetes,0.8054821082319761,0.7347787949755162,0.7363501082251082,0.7337662337662337,0.2662337662337662,878209
AutoWeka,AutoWeka,50,glass,0.887202380952381,0.7695585787092359,0.7836525307797539,0.7674418604651163,0.23255813953488372,860175
AutoWeka,AutoWeka,50,heart-c,0.855119825708061,0.802305890830481,0.803096539162113,0.8032786885245902,0.19672131147540983,776211
AutoWeka,AutoWeka,50,heart-h,0.8869047619047619,0.8455073136754121,0.8482222505416082,0.847457627118644,0.15254237288135594,791200
AutoWeka,AutoWeka,50,heart-statlog,0.790895061728395,0.780451127819549,0.7852941176470588,0.7777777777777778,0.2222222222222222,775984
AutoWeka,AutoWeka,50,hepatitis,0.9571428571428571,0.8204072294669412,0.869727047146402,0.8387096774193549,0.16129032258064516,794179
AutoWeka,AutoWeka,50,hypothyroid,0.9837098625597339,NaN,NaN,0.9893899204244032,0.010610079575596816,884579
AutoWeka,AutoWeka,50,ionosphere,0.9924242424242424,0.9411428571428573,0.9472527472527472,0.9428571428571428,0.05714285714285714,830240
AutoWeka,AutoWeka,50,iris,0.945906432748538,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.06666666666666667,773268
AutoWeka,AutoWeka,50,kr-vs-kp,0.9762492622467047,0.9434189478876867,0.9463630599626905,0.9436619718309859,0.056338028169014086,875609
AutoWeka,AutoWeka,50,labor,0.9444444444444445,0.9155080213903743,0.9393939393939394,0.9090909090909091,0.09090909090909091,775995
AutoWeka,AutoWeka,50,letter,0.9961165183478586,0.9720112306340458,0.9721692706944088,0.972,0.028,911729
AutoWeka,AutoWeka,50,lymph,0.9291666666666667,0.7626666666666667,0.7748006379585327,0.7666666666666667,0.23333333333333334,776203
AutoWeka,AutoWeka,50,mushroom,0.994967282787743,0.9919971587297912,0.9921216374269005,0.992,0.008,842457
AutoWeka,AutoWeka,50,primary-tumor,0.7786172745896186,NaN,NaN,0.3382352941176471,0.6617647058823529,821184
AutoWeka,AutoWeka,50,segment,0.9987534522432222,0.984936050929375,0.9855167873601053,0.9848484848484849,0.015151515151515152,881507
AutoWeka,AutoWeka,50,sick,0.9775926573897129,0.9769355623781005,0.9767279889691242,0.9774535809018567,0.022546419098143235,915028
AutoWeka,AutoWeka,50,sonar,0.7956730769230769,0.7842796278584471,0.7837742504409171,0.7857142857142857,0.21428571428571427,791201
AutoWeka,AutoWeka,50,soybean,0.9897479605605368,0.91976506232571,0.9247987580228658,0.9197080291970803,0.08029197080291971,926705
AutoWeka,AutoWeka,50,splice,0.9901505367928098,0.9440013614309172,0.9453081275417398,0.9435736677115988,0.05642633228840126,896537
AutoWeka,AutoWeka,50,vehicle,0.8964189601601111,0.6812513919394868,0.7440184034675716,0.7100591715976331,0.28994082840236685,926521
AutoWeka,AutoWeka,50,vote,0.9812788018433181,0.9540229885057471,0.9540229885057471,0.9540229885057471,0.04597701149425287,800216
AutoWeka,AutoWeka,50,vowel,0.999721223859155,0.974469184642755,0.976240935212227,0.9747474747474747,0.025252525252525252,869491
AutoWeka,AutoWeka,50,waveform-5000,null,null,null,null,null,923605
AutoWeka,AutoWeka,50,zoo,1.0,1.0,1.0,1.0,0.0,800426
