classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,1,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,76285
AutoWeka,AutoWeka,50,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72882
AutoWeka,AutoWeka,100,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,75865
AutoWeka,AutoWeka,150,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72875
AutoWeka,AutoWeka,200,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72851
AutoWeka,AutoWeka,250,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,75965
AutoWeka,AutoWeka,300,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72940
AutoWeka,AutoWeka,350,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72907
AutoWeka,AutoWeka,400,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,75858
AutoWeka,AutoWeka,450,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,72857
AutoWeka,AutoWeka,1,audiology,0.9775311699354151,NaN,NaN,0.8444444444444444,0.15555555555555556,72860
AutoWeka,AutoWeka,50,audiology,0.9375453488020286,NaN,NaN,0.8,0.2,78908
AutoWeka,AutoWeka,100,audiology,0.9490220994713934,NaN,NaN,0.7777777777777778,0.2222222222222222,72915
AutoWeka,AutoWeka,150,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,75985
AutoWeka,AutoWeka,200,audiology,0.9775311699354151,NaN,NaN,0.8444444444444444,0.15555555555555556,72942
AutoWeka,AutoWeka,250,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72964
AutoWeka,AutoWeka,300,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,84980
AutoWeka,AutoWeka,350,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72928
AutoWeka,AutoWeka,400,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,72932
AutoWeka,AutoWeka,450,audiology,0.9106370486064937,NaN,NaN,0.8,0.2,72972
AutoWeka,AutoWeka,1,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72953
AutoWeka,AutoWeka,50,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72961
AutoWeka,AutoWeka,100,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,72934
