"","ID","CLASSIFIER","ATTRIBUTESELECTION","SEED","DATASET","FLOW","RANK","CLUSTER","WEIGHTEDAREAUNDERROC","WEIGHTEDFMEASURE","WEIGHTEDPRECISION","WEIGHTEDRECALL","ERRORRATE","TIMEELAPSED"
"1",1,"randomforest","correlation-attribute-eval",1,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999790286183234,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,4686
"2",2,"randomforest","correlation-attribute-eval",50,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999783247045496,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,825
"3",3,"randomforest","correlation-attribute-eval",100,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.99978579615092,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,818
"4",4,"randomforest","correlation-attribute-eval",150,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.99985919693809,0.994379567696548,0.99448105069314,0.994432071269488,0.00556792873051225,818
"5",5,"randomforest","correlation-attribute-eval",200,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999879415249074,0.994379567696548,0.99448105069314,0.994432071269488,0.00556792873051225,818
"6",6,"randomforest","correlation-attribute-eval",250,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999765121460714,0.9965972248516,0.996673831221249,0.996659242761693,0.00334075723830735,820
"7",7,"randomforest","correlation-attribute-eval",300,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999757672936394,0.9965972248516,0.996673831221249,0.996659242761693,0.00334075723830735,817
"8",8,"randomforest","correlation-attribute-eval",350,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999891319269933,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,820
"9",9,"randomforest","correlation-attribute-eval",400,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999867604559305,0.994379567696548,0.99448105069314,0.994432071269488,0.00556792873051225,816
"10",10,"randomforest","correlation-attribute-eval",450,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.998244962653479,0.993232299187382,0.993375574351867,0.993318485523385,0.0066815144766147,818
"11",11,"randomforest","correlation-attribute-eval",500,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999953365746556,0.9965972248516,0.996673831221249,0.996659242761693,0.00334075723830735,816
"12",12,"randomforest","correlation-attribute-eval",550,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999579543543834,0.9965972248516,0.996673831221249,0.996659242761693,0.00334075723830735,818
"13",13,"randomforest","correlation-attribute-eval",600,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999786041608419,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,819
"14",14,"randomforest","correlation-attribute-eval",650,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999888372580603,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,817
"15",15,"randomforest","correlation-attribute-eval",700,"anneal.arff","load-arff-operator|randomize-operator|class-assigner-operator|correlation-attribute-eval-operator|standardization-operator|cross-validation-fold-maker-operator|randomforest-operator|classifier-performance-evaluator-operator|result-viewer-operator",1,19,0.999776885484937,0.995486033309431,0.995566532690073,0.99554565701559,0.0044543429844098,812
