classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,1,anneal,0.983556606251642,0.895350702898348,0.900038580246914,0.905555555555556,0.0944444444444444,900336
AutoWeka,AutoWeka,50,anneal,0.988211344427448,0.954866692180125,0.9546337448559671,0.9555555555555556,0.044444444444444446,905909
AutoWeka,AutoWeka,100,anneal,0.996327229504352,0.971548821548821,0.97281746031746,0.972222222222222,0.0277777777777778,822589
AutoWeka,AutoWeka,150,anneal,0.99718204854834,0.982438618393674,0.983416252072969,0.983333333333333,0.0166666666666667,833960
AutoWeka,AutoWeka,1,audiology,0.975625969419443,NaN,NaN,0.844444444444444,0.155555555555556,875514
AutoWeka,AutoWeka,50,audiology,0.9142698240527897,NaN,NaN,0.7111111111111111,0.28888888888888886,848403
AutoWeka,AutoWeka,100,audiology,0.893401116427432,NaN,NaN,0.822222222222222,0.177777777777778,869514
AutoWeka,AutoWeka,150,audiology,0.919033953641157,NaN,NaN,0.8,0.2,875455
AutoWeka,AutoWeka,1,autos,0.94592307326582,0.852755194218609,0.885116407982262,0.853658536585366,0.146341463414634,881420
AutoWeka,AutoWeka,50,autos,0.9758055855616833,0.9027913279132791,0.9317073170731708,0.9024390243902439,0.0975609756097561,836380
AutoWeka,AutoWeka,100,autos,0.900648764063398,0.852336281604574,0.885772357723577,0.853658536585366,0.146341463414634,791248
AutoWeka,AutoWeka,150,autos,0.961378007719471,0.903368176538908,0.924216027874564,0.902439024390244,0.0975609756097561,878525
AutoWeka,AutoWeka,1,balance-scale,0.992322344322344,0.947860304968028,0.954447552447552,0.944,0.056,800164
AutoWeka,AutoWeka,50,balance-scale,0.9980669108669108,0.9777268920534152,0.9825454545454545,0.976,0.024,781962
AutoWeka,AutoWeka,100,balance-scale,1,1,1,1,0,854151
AutoWeka,AutoWeka,150,balance-scale,1,1,1,1,0,812226
AutoWeka,AutoWeka,1,breast-cancer,0.642045454545454,0.474326059050064,0.488721804511278,0.543859649122807,0.456140350877193,773016
AutoWeka,AutoWeka,50,breast-cancer,0.6035353535353535,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,776206
AutoWeka,AutoWeka,100,breast-cancer,0.589015151515152,0.581453634085213,0.714138286893705,0.649122807017544,0.350877192982456,782042
AutoWeka,AutoWeka,150,breast-cancer,0.59280303030303,0.474326059050064,0.488721804511278,0.543859649122807,0.456140350877193,787992
AutoWeka,AutoWeka,1,breast-w,0.996448863636364,0.971428571428571,0.971428571428571,0.971428571428571,0.0285714285714286,776129
AutoWeka,AutoWeka,50,breast-w,0.9906452922077922,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,773159
AutoWeka,AutoWeka,100,breast-w,0.995975378787879,0.985797827903091,0.986335403726708,0.985714285714286,0.0142857142857143,788233
AutoWeka,AutoWeka,150,breast-w,0.996448863636364,0.978635718067449,0.978813700918964,0.978571428571429,0.0214285714285714,785112
AutoWeka,AutoWeka,1,colic,0.964061096136568,0.882765882765883,0.903349001175088,0.878378378378378,0.121621621621622,794289
AutoWeka,AutoWeka,50,colic,0.9559748427672956,0.9215540540540541,0.9369369369369369,0.918918918918919,0.08108108108108109,884517
AutoWeka,AutoWeka,100,colic,0.946158422573517,0.908817908817909,0.929054054054054,0.905405405405405,0.0945945945945946,776011
AutoWeka,AutoWeka,150,colic,0.940700808625337,0.857571337255995,0.889127764127764,0.851351351351351,0.148648648648649,776205
AutoWeka,AutoWeka,1,credit-a,0.885470085470085,0.840851237144894,0.841477817967078,0.840579710144927,0.159420289855072,881263
AutoWeka,AutoWeka,50,credit-a,0.8933760683760684,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.13043478260869565,800281
AutoWeka,AutoWeka,100,credit-a,0.885470085470085,0.840851237144894,0.841477817967078,0.840579710144927,0.159420289855072,884411
AutoWeka,AutoWeka,150,credit-a,0.898736529171312,0.826383167794429,0.827028124307965,0.826086956521739,0.173913043478261,782311
AutoWeka,AutoWeka,1,credit-g,0.656444906444906,0.664488736879349,0.688571428571429,0.65,0.35,806248
AutoWeka,AutoWeka,50,credit-g,0.7906704781704782,0.757304659498208,0.7534892787524367,0.77,0.23,881407
AutoWeka,AutoWeka,100,credit-g,0.675090956340956,0.660243608934284,0.686063980783928,0.645,0.355,803214
AutoWeka,AutoWeka,150,credit-g,0.727001039501039,0.707076923076923,0.708420535494964,0.745,0.255,899315
AutoWeka,AutoWeka,1,diabetes,0.820729772607086,0.725039084224466,0.731491938013677,0.733766233766234,0.266233766233766,827222
AutoWeka,AutoWeka,50,diabetes,0.8054821082319761,0.7347787949755162,0.7363501082251082,0.7337662337662337,0.2662337662337662,878209
AutoWeka,AutoWeka,100,diabetes,0.840824960338445,0.713248717075189,0.716697806910071,0.720779220779221,0.279220779220779,779152
AutoWeka,AutoWeka,150,diabetes,0.786356425171867,0.721159613842541,0.721601154805923,0.720779220779221,0.279220779220779,791118
AutoWeka,AutoWeka,1,glass,0.943777498428661,0.794998549102516,0.82546213476446,0.790697674418605,0.209302325581395,773193
AutoWeka,AutoWeka,50,glass,0.887202380952381,0.7695585787092359,0.7836525307797539,0.7674418604651163,0.23255813953488372,860175
AutoWeka,AutoWeka,100,glass,0.946904462602137,0.782774589751334,0.787717412546414,0.790697674418605,0.209302325581395,776280
AutoWeka,AutoWeka,150,glass,0.929029174523361,0.762729174357081,0.808652530779754,0.767441860465116,0.232558139534884,776023
AutoWeka,AutoWeka,1,heart-c,0.855119825708061,0.802305890830481,0.803096539162113,0.80327868852459,0.19672131147541,827340
AutoWeka,AutoWeka,50,heart-c,0.855119825708061,0.802305890830481,0.803096539162113,0.8032786885245902,0.19672131147540983,776211
AutoWeka,AutoWeka,100,heart-c,0.852941176470588,0.802305890830481,0.803096539162113,0.80327868852459,0.19672131147541,884426
AutoWeka,AutoWeka,150,heart-c,0.855119825708061,0.802305890830481,0.803096539162113,0.80327868852459,0.19672131147541,845328
