classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
AutoWeka,AutoWeka,1,anneal,0.9821744773559541,0.8878725590955807,0.8935632183908045,0.9,0.1,130372
AutoWeka,AutoWeka,50,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,127095
AutoWeka,AutoWeka,100,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,127055
AutoWeka,AutoWeka,150,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,127034
AutoWeka,AutoWeka,200,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,124050
AutoWeka,AutoWeka,250,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,121079
AutoWeka,AutoWeka,300,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,124070
AutoWeka,AutoWeka,350,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,127033
AutoWeka,AutoWeka,400,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,124003
AutoWeka,AutoWeka,450,anneal,0.9971820485483398,0.9824386183936744,0.9834162520729686,0.9833333333333333,0.016666666666666666,124054
AutoWeka,AutoWeka,1,audiology,0.9775311699354151,NaN,NaN,0.8444444444444444,0.15555555555555556,133042
AutoWeka,AutoWeka,50,audiology,0.9508650907880689,NaN,NaN,0.8,0.2,127056
AutoWeka,AutoWeka,100,audiology,0.9644558550848665,NaN,NaN,0.8666666666666667,0.13333333333333333,133035
AutoWeka,AutoWeka,150,audiology,0.9633718442447582,NaN,NaN,0.8444444444444444,0.15555555555555556,136067
AutoWeka,AutoWeka,200,audiology,0.9775311699354151,NaN,NaN,0.8444444444444444,0.15555555555555556,148101
AutoWeka,AutoWeka,250,audiology,0.9532928774263818,NaN,NaN,0.7777777777777778,0.2222222222222222,127045
AutoWeka,AutoWeka,300,audiology,0.9296393546072622,NaN,NaN,0.7333333333333333,0.26666666666666666,136082
AutoWeka,AutoWeka,350,audiology,0.9611570471811689,NaN,NaN,0.8,0.2,130044
AutoWeka,AutoWeka,400,audiology,0.9828074537857503,NaN,NaN,0.8222222222222222,0.17777777777777778,130051
AutoWeka,AutoWeka,450,audiology,0.9510827835328537,NaN,NaN,0.8,0.2,127165
AutoWeka,AutoWeka,1,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,121014
AutoWeka,AutoWeka,50,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,124031
AutoWeka,AutoWeka,100,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,124009
AutoWeka,AutoWeka,150,autos,0.9613780077194712,0.9033681765389082,0.9242160278745644,0.9024390243902439,0.0975609756097561,130036
AutoWeka,AutoWeka,200,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,130004
AutoWeka,AutoWeka,250,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,133018
AutoWeka,AutoWeka,300,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,121041
AutoWeka,AutoWeka,350,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,127000
AutoWeka,AutoWeka,400,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,124039
AutoWeka,AutoWeka,450,autos,0.9459230732658204,0.8527551942186088,0.8851164079822617,0.8536585365853658,0.14634146341463414,124023
AutoWeka,AutoWeka,1,balance-scale,0.9469606837606838,0.8264117858426159,0.8227796610169491,0.832,0.168,127023
AutoWeka,AutoWeka,50,balance-scale,0.9365914529914531,0.8208303186907838,0.8112599267811884,0.832,0.168,140664
AutoWeka,AutoWeka,100,balance-scale,0.9536009768009768,0.7987277628032344,0.8320247678018576,0.768,0.232,121008
AutoWeka,AutoWeka,150,balance-scale,0.9471780219780219,0.8329420560747663,0.8594854111405835,0.808,0.192,148061
AutoWeka,AutoWeka,200,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,124046
AutoWeka,AutoWeka,250,balance-scale,0.9891770451770451,0.9521476598549768,0.9524285714285713,0.952,0.048,127049
AutoWeka,AutoWeka,300,balance-scale,0.9792019536019536,0.8892230576441102,0.8677118644067797,0.912,0.088,124026
AutoWeka,AutoWeka,350,balance-scale,0.9365914529914531,0.8208303186907838,0.8112599267811884,0.832,0.168,124015
AutoWeka,AutoWeka,400,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,127073
AutoWeka,AutoWeka,450,balance-scale,0.9277147741147742,0.8003336445689387,0.8264760013240648,0.776,0.224,124045
AutoWeka,AutoWeka,1,breast-cancer,0.6060606060606061,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,124013
AutoWeka,AutoWeka,50,breast-cancer,0.7140151515151516,0.5327687033676144,0.7748538011695907,0.631578947368421,0.3684210526315789,124043
AutoWeka,AutoWeka,100,breast-cancer,0.5801767676767675,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,124025
AutoWeka,AutoWeka,150,breast-cancer,0.5928030303030303,0.4743260590500642,0.4887218045112782,0.543859649122807,0.45614035087719296,124013
AutoWeka,AutoWeka,200,breast-cancer,0.5801767676767675,0.5963015647226174,0.60397946084724,0.6140350877192983,0.38596491228070173,124011
AutoWeka,AutoWeka,250,breast-cancer,0.6376262626262627,0.568290138482623,0.6596992481203008,0.631578947368421,0.3684210526315789,121012
AutoWeka,AutoWeka,300,breast-cancer,0.6521464646464646,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,124028
AutoWeka,AutoWeka,350,breast-cancer,0.5561868686868687,0.5023332742630988,0.5248538011695906,0.5614035087719298,0.43859649122807015,124064
AutoWeka,AutoWeka,400,breast-cancer,0.6376262626262627,0.5023332742630988,0.5248538011695906,0.5614035087719298,0.43859649122807015,124052
AutoWeka,AutoWeka,450,breast-cancer,0.6660353535353535,0.5291021671826625,0.555431131019037,0.5789473684210527,0.42105263157894735,127045
AutoWeka,AutoWeka,1,breast-w,0.9962121212121212,0.9568654313799363,0.9570456754130223,0.9571428571428572,0.04285714285714286,133041
