classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,info-gain-attribute-eval,1,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,17080
randomforest,info-gain-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15362
randomforest,no-attribute-selection,100,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15081
randomforest,info-gain-attribute-eval,150,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15182
randomforest,info-gain-attribute-eval,200,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15220
randomforest,info-gain-attribute-eval,250,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15182
randomforest,symmetrical-uncert-attribute-eval,300,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15171
randomforest,info-gain-attribute-eval,350,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,14953
randomforest,correlation-attribute-eval,400,anneal,1.0,0.9944844673146559,0.994642857142857,0.9944444444444445,0.005555555555555556,15055
randomforest,no-attribute-selection,450,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15937
randomforest,info-gain-attribute-eval,500,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,16038
randomforest,info-gain-attribute-eval,550,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,15961
randomforest,info-gain-attribute-eval,600,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,18299
randomforest,symmetrical-uncert-attribute-eval,650,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,16988
randomforest,info-gain-attribute-eval,700,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,17013
randomforest,relieff-attribute-eval,750,anneal,0.9998817966903074,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,16045
