classifier,attributeSelection,seed,dataset,weightedAreaUnderROC,weightedFMeasure,weightedPrecision,weightedRecall,errorRate,timeElapsed
randomforest,info-gain-attribute-eval,1,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,34137
randomforest,info-gain-attribute-eval,50,anneal,1.0,0.9890452140452141,0.9896551724137931,0.9888888888888889,0.011111111111111112,23699
kstar,cfs-subset-eval,1,audiology,0.9532928774263818,NaN,NaN,0.8222222222222222,0.17777777777777778,20834
logitboost,info-gain-attribute-eval,50,audiology,0.974519412211295,NaN,NaN,0.8222222222222222,0.17777777777777778,33059
randomforest,gain-ratio-attribute-eval,1,autos,0.9896020871630627,0.8747010999521759,0.9077756931415468,0.8780487804878049,0.12195121951219512,20713
randomforest,gain-ratio-attribute-eval,50,autos,0.9715352398279228,0.8471780369977612,0.8904315196998124,0.8536585365853658,0.14634146341463414,17540
logitboost,gain-ratio-attribute-eval,1,balance-scale,0.9967863247863248,0.963017250737463,0.969368363437329,0.968,0.032,17201
logitboost,gain-ratio-attribute-eval,50,balance-scale,0.9967863247863248,0.963017250737463,0.969368363437329,0.968,0.032,17243
kstar,wrapper-subset-eval-with-adaboost-operator,1,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,14651
kstar,wrapper-subset-eval-with-adaboost-operator,50,breast-cancer,0.5,NaN,NaN,0.5789473684210527,0.42105263157894735,14583
logistic,no-attribute-selection,1,breast-w,0.9964488636363636,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.02857142857142857,17387
smo,no-attribute-selection,50,breast-w,0.9782196969696969,0.9786357180674494,0.978813700918964,0.9785714285714285,0.02142857142857143,17830
decisiontable,info-gain-attribute-eval,1,colic,0.9663072776280323,0.8818371773922649,0.8937543312543312,0.8783783783783784,0.12162162162162163,20520
j48,wrapper-subset-eval-with-adaboost-operator,50,colic,0.9393530997304582,0.9071809673751422,0.9122297297297297,0.9054054054054054,0.0945945945945946,23611
bagging,correlation-attribute-eval,1,credit-a,0.8952991452991454,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.17391304347826086,32592
decisiontable,info-gain-attribute-eval,50,credit-a,0.9066239316239316,0.8123119392684611,0.8160957400087835,0.8115942028985508,0.18840579710144928,26549
smo,relieff-attribute-eval,1,credit-g,0.8108108108108109,0.7652439518853899,0.7620214568040656,0.77,0.23,47601
smo,relieff-attribute-eval,50,credit-g,0.6824324324324325,0.7652439518853899,0.7620214568040656,0.77,0.23,47446
logistic,no-attribute-selection,1,diabetes,0.8415300546448088,0.7384518118232721,0.7456945228684358,0.7467532467532467,0.2532467532467532,17278
smo,no-attribute-selection,50,diabetes,0.7005993301604091,0.7250390842244658,0.7314919380136771,0.7337662337662337,0.2662337662337662,17321
randomforest,cfs-subset-eval,1,glass,0.9529161428870732,0.8136911753190822,0.857267441860465,0.813953488372093,0.18604651162790697,17424
randomforest,no-attribute-selection,50,glass,0.9339919861722187,0.7655038759689924,0.7972591362126246,0.7674418604651163,0.23255813953488372,17563
logistic,no-attribute-selection,1,heart-c,0.8888888888888888,0.802305890830481,0.803096539162113,0.8032786885245902,0.19672131147540983,17322
logistic,no-attribute-selection,50,heart-c,0.8888888888888888,0.802305890830481,0.803096539162113,0.8032786885245902,0.19672131147540983,17352
logistic,no-attribute-selection,1,heart-h,0.9392857142857143,0.8798390217475428,0.88320377214222,0.8813559322033898,0.11864406779661017,17346
bagging,correlation-attribute-eval,50,heart-h,0.9297619047619048,0.8305084745762712,0.8305084745762712,0.8305084745762712,0.1694915254237288,17462
bagging,wrapper-subset-eval-with-adaboost-operator,1,heart-statlog,0.7222222222222222,0.7287950491445213,0.7475455820476858,0.7222222222222222,0.2777777777777778,17405
