@relation 'stream-weka.filters.unsupervised.attribute.Reorder-R2,1-weka.filters.unsupervised.attribute.Reorder-R1,last'

@attribute age numeric
@attribute deceased {false,true}

@data
62,false
60,true
61,false
91,true
71,true
66,false
77,false
56,false
72,true
67,false
82,false
59,false
63,false
77,false
61,false
81,false
60,false
74,true
64,false
86,true
63,false
70,false
81,false
69,false
82,false
61,true
54,false
82,false
77,false
84,false
58,false
79,false
55,false
60,false
56,false
86,true
71,true
69,false
74,false
54,false
87,false
68,false
88,true
78,false
89,true
79,false
67,false
92,true
72,false
85,false
68,false
88,false
70,false
64,false
91,false
80,false
74,false
89,true
92,false
82,false
74,true
75,false
62,false
66,false
88,false
62,false
68,false
69,false
55,false
76,true
83,false
82,false
63,false
70,false
81,false
89,false
69,false
58,false
78,true
63,false
91,false
83,false
83,false
83,false
56,false
59,false
56,false
80,true
76,false
91,false
71,false
62,false
63,false
79,true
76,true
73,false
54,true
89,false
87,false
66,true
73,false
73,false
74,false
70,false
60,false
87,false
68,false
65,false
57,false
77,false
82,true
65,false
57,false
68,false
86,false
79,true
66,false
66,false
72,true
70,false
59,false
86,false
83,false
70,true
69,false
74,true
66,false
68,true
69,false
88,false
77,true
88,false
76,false
59,false
59,false
69,false
71,false
89,false
82,false
55,false
59,false
71,false
70,false
84,false
54,false
83,true
79,true
57,false
55,false
86,false
82,false
84,false
74,false
77,false
74,false
73,false
84,true
69,true
66,false
56,false
70,false
83,false
64,false
87,true
87,false
68,false
80,true
69,false
55,false
94,false
69,false
72,false
86,true
56,false
71,false
67,true
57,false
66,false
80,true
92,true
91,true
86,true
82,false
70,true
75,false
60,false
80,true
70,true
72,true
55,false
60,false
65,false
54,false
89,false
81,false
71,false
69,true
71,true
60,false
92,true
71,false
59,true
77,true
56,true
60,false
87,false
54,true
55,false
78,false
78,false
73,true
73,false
76,false
59,false
77,false
83,false
85,false
73,true
72,false
61,true
72,true
72,true
62,true
76,true
60,false
64,true
81,false
88,false
72,false
56,false
78,true
88,true
68,false
76,false
72,false
73,false
79,false
76,false
54,false
71,true
76,false
68,false
54,false
74,false
88,true
74,false
71,false
54,false
73,false
68,false
63,false
84,true
90,false
55,false
78,false
70,false
77,false
63,false
80,false
61,false
92,false
80,false
67,false
58,false
62,true
73,false
90,false
81,true
76,false
82,false
83,false
58,false
92,true
64,false
71,false
63,false
67,true
59,false
65,false
79,false
77,false
57,false
58,false
77,false
92,false
56,false
76,true
81,false
74,true
68,false
73,false
56,false
71,false
55,false
74,true
69,true
67,false
71,false
59,false
83,true
92,false
77,false
90,true
65,false
80,true
76,false
59,false
55,false
71,false
78,true
72,true
74,false
71,false
65,false
71,false
66,true
67,true
61,false
61,false
86,false
83,false
61,false
74,true
75,false
88,false
75,false
60,false
82,false
86,false
94,false
80,false
92,false
68,false
87,false
69,false
77,false
72,false
86,false
59,false
64,false
92,false
78,false
82,true
74,false
68,false
82,false
84,false
68,false
56,false
57,false
75,true
61,false
57,false
74,false
56,false
72,true
74,false
86,false
66,false
72,false
75,false
82,true
68,false
76,false
71,false
88,true
79,true
82,true
60,false
63,false
66,false
70,false
61,false
61,false
72,false
68,true
82,false
71,false
59,false
73,false
88,false
69,false
76,false
61,false
75,false
64,false
86,false
79,false
97,false
83,false
56,false
87,false
66,false
87,false
87,false
84,false
70,false
72,true
77,false
79,false
61,false
61,false
86,true
64,false
78,false
90,false
66,false
83,false
79,false
86,true
70,true
56,false
80,false
78,false
69,true
61,false
72,false
76,false
54,false
87,false
61,false
66,false
80,true
84,false
84,true
66,false
83,true
71,false
71,true
76,false
57,false
86,false
60,false
59,false
82,false
65,false
66,false
77,false
72,true
83,false
62,false
54,false
70,true
79,false
72,false
55,false
72,false
69,false
72,true
58,false
63,false
72,false
58,false
78,false
58,false
62,true
82,false
90,false
59,false
77,false
69,true
82,true
66,false
66,false
64,false
87,true
87,false
69,true
66,false
55,true
79,false
73,true
62,false
84,false
79,false
59,false
73,false
67,false
83,false
70,false
64,false
76,true
62,false
72,false
63,false
83,true
61,false
90,true
81,false
59,true
66,false
87,true
62,false
65,false
56,false
59,false
82,false
92,true
86,true
56,false
55,false
78,true
70,false
65,false
90,false
67,false
74,false
62,false
64,false
58,false
72,false
97,true
85,true
61,false
66,false
58,false
76,false
58,false
65,false
58,false
60,false
81,false
98,false
60,false
81,false
86,false
70,true
72,false
73,false
81,false
78,false
86,false
65,false
70,false
67,false
78,true
74,false
68,false
89,true
69,false
71,false
64,false
81,true
68,false
78,false
82,false
66,false
61,false
75,false
70,false
73,false
71,false
63,false
56,false
69,false
58,false
83,true
62,false
60,false
54,false
83,true
89,true
62,false
87,true
77,true
84,false
64,false
82,false
59,false
63,false
59,false
80,false
82,false
75,false
88,false
66,false
56,false
86,false
72,true
86,false
63,false
68,false
70,true
56,false
64,false
71,false
93,false
66,false
71,true
71,true
87,false
60,true
58,false
57,true
71,false
78,false
66,true
71,false
57,false
75,false
62,false
63,false
61,false
76,false
73,false
68,false
80,false
63,false
80,true
74,false
74,false
67,true
79,true
78,true
77,false
68,false
73,false
90,true
90,false
92,true
57,false
55,false
60,true
67,false
72,true
89,false
81,false
69,false
76,false
90,false
63,true
68,true
79,false
70,false
69,false
72,false
85,false
69,false
76,false
68,false
81,false
92,true
64,false
65,false
79,false
67,true
65,false
63,false
63,false
78,false
57,false
62,true
64,false
94,true
83,false
69,false
79,false
61,false
66,false
66,false
71,false
54,true
81,false
60,false
64,false
67,false
77,false
69,false
82,false
68,false
67,false
57,false
76,true
82,true
56,false
85,true
64,false
73,false
87,false
83,true
65,false
78,false
85,true
83,true
61,false
58,false
84,false
60,true
71,false
93,false
87,false
88,false
71,false
56,false
54,false
58,false
77,false
63,false
72,false
89,false
75,false
80,true
73,false
72,false
75,false
73,false
64,false
64,true
67,false
64,true
61,false
56,false
90,false
55,false
83,true
58,false
76,false
78,false
74,true
89,false
55,false
60,true
65,false
65,false
99,false
90,false
59,false
94,false
66,true
83,false
81,true
75,true
82,false
81,false
75,false
92,true
81,false
85,true
87,false
67,false
87,false
94,true
66,false
64,false
79,false
55,true
58,false
81,false
82,false
73,false
63,true
85,false
92,false
79,false
84,false
76,false
90,false
62,false
80,false
68,true
55,true
56,false
71,false
92,true
81,false
91,false
74,false
88,false
94,false
73,false
76,true
66,true
74,false
79,false
70,false
83,false
64,true
63,true
58,false
73,false
90,true
75,false
88,false
69,false
64,false
92,false
79,true
64,false
69,false
55,false
79,false
75,true
87,false
60,false
86,true
83,false
88,false
77,false
76,false
76,false
87,false
61,false
86,false
54,false
86,true
83,true
76,false
78,true
83,false
56,false
58,false
56,false
84,false
68,false
65,false
60,false
62,false
66,false
80,true
66,false
72,true
74,false
72,false
86,false
88,true
71,false
72,false
89,false
77,false
71,true
79,false
59,true
79,true
66,false
56,false
72,false
68,false
76,false
90,false
80,false
70,false
71,false
65,false
54,true
58,false
54,false
74,false
80,false
80,false
59,false
68,false
85,false
76,false
59,false
58,true
78,true
64,false
78,false
73,true
66,false
66,false
56,false
79,false
75,false
76,true
54,false
62,false
74,false
71,true
70,false
83,false
92,true
81,true
71,false
72,false
75,false
84,false
90,false
87,false
79,false
54,true
75,true
76,false
84,false
69,false
61,true
78,false
62,true
60,false
86,true
89,false
72,true
60,true
85,false
75,false
83,false
66,false
55,false
59,false
71,false
55,false
60,true
82,false
83,true
65,false
55,false
73,false
85,true
75,true
57,false
68,true
76,false
91,false
70,true
76,true
58,false
71,true
85,false
74,false
69,true
85,false
66,true
66,true
60,false
75,true
71,false
63,false
59,false
85,false
79,true
78,false
89,true
60,false
60,false
72,false
75,false
89,false
81,false
69,true
79,true
64,false
86,false
83,false
88,true
56,false
59,false
87,false
71,false
57,true
66,false
82,true
69,false
63,false
68,true
93,false
69,false
58,false
85,false
68,true
83,true
76,false
72,false
77,false
85,false
65,true
61,false
59,false
78,false
81,false
83,false
88,false
64,false
67,false
71,true
88,true
65,false
54,false
75,false
60,false
79,false
73,true
62,false
82,false
83,true
83,false
81,false
76,false
80,false
84,false
91,false
69,true
55,true
65,false
56,true
54,false
75,false
60,false
78,true
58,false
79,false
61,false
72,false
79,false
78,false
85,true
78,false
64,false
57,false
72,false
61,false
75,false
71,false
64,true
76,false
57,false
83,false
81,true
58,false
78,false
77,false
68,false
90,false
55,false
92,false
59,false
64,false
54,false
82,true
61,false
70,false
58,true
74,true
78,false
70,false
56,false
92,true
54,false
89,false
94,false
75,false
54,false
89,true
69,true
76,false
90,true
70,true
73,false
81,false
89,false
89,false
76,false
87,false
74,false
66,false
55,false
79,false
86,false
64,true
77,false
82,true
59,false
80,false
61,false
92,false
60,false
75,false
80,false
69,false
59,false
72,true
66,false
64,true
74,false
62,true
83,false
75,false
64,false
71,false
80,false
78,false
74,false
74,false
78,false
57,false
84,false
63,false
78,false
59,true
84,false
62,false
87,false
85,true
89,false
59,false
84,true
76,false
79,true
71,false
80,false
68,false
66,false
59,false
87,false
66,false
80,false
81,false
84,true
84,false
56,false
61,false
68,false
90,true
78,false
67,true
83,false
57,false
68,true
56,false
75,false
90,false
71,false
63,true
76,false
83,false
56,false
82,true
77,false
95,true
87,true
55,false
77,false
59,false
61,false
85,false
65,true
65,true
57,false
58,false
65,false
58,false
62,false
94,false
85,true
58,false
80,false
71,true
104,true
78,false
70,false
61,false
86,false
68,false
82,false
87,true
65,false
57,false
84,true
76,false
87,false
79,false
71,true
64,false
77,false
86,false
54,false
58,false
97,true
79,false
65,false
76,false
60,false
78,false
58,false
63,false
61,false
83,true
72,false
59,true
69,false
62,false
92,true
88,false
77,false
78,false
72,false
77,false
75,true
63,true
88,false
70,false
57,true
75,true
82,true
88,false
54,true
74,false
74,true
54,false
72,false
77,true
68,false
57,true
79,false
67,true
79,false
90,false
90,false
88,false
77,false
81,false
63,false
68,false
90,false
63,false
58,false
67,false
63,false
57,true
89,false
62,false
68,false
57,true
62,true
63,true
79,false
67,false
91,false
70,false
64,true
86,true
80,false
56,false
58,false
56,false
83,false
65,false
57,false
71,false
70,true
73,false
74,false
63,false
78,true
88,true
66,false
59,false
56,false
82,false
65,false
65,false
70,false
89,false
88,false
72,false
90,true
62,false
79,false
84,true
81,true
86,true
89,false
84,true
81,true
60,false
70,false
81,false
79,true
57,false
80,false
73,false
56,false
81,false
61,false
65,false
86,false
83,false
82,true
60,false
60,false
78,false
54,false
78,false
63,false
72,true
65,false
79,false
68,false
77,false
86,false
75,false
85,false
59,false
88,false
75,true
91,false
59,false
56,true
71,false
56,false
57,true
78,false
72,false
59,false
77,false
68,true
89,false
63,true
74,false
85,true
69,false
62,false
61,false
84,false
64,false
88,false
56,false
79,false
78,true
88,true
83,false
76,false
74,false
69,false
75,false
60,false
76,false
63,false
61,false
75,false
54,false
87,false
69,false
84,false
55,false
60,false
76,false
94,true
75,false
66,false
69,false
67,false
83,true
77,false
68,false
61,false
71,false
73,false
57,false
93,true
81,false
54,false
82,true
71,true
70,false
80,false
63,true
69,true
64,false
65,false
80,false
81,false
82,false
64,false
68,false
81,false
82,false
58,false
88,false
55,true
86,false
68,true
64,false
87,false
77,false
65,true
67,false
76,false
81,false
54,true
74,false
72,false
101,true
74,false
68,false
70,false
54,true
91,false
57,false
87,false
68,false
58,false
86,false
80,false
85,false
74,false
71,false
58,false
63,true
73,false
80,false
94,false
74,false
62,false
59,false
66,false
67,true
79,false
80,false
91,true
61,true
87,false
78,false
73,false
78,false
81,false
59,false
58,false
64,false
85,false
79,false
90,false
59,false
82,false
77,false
77,true
75,true
80,false
79,true
70,false
61,false
76,false
78,false
84,false
84,true
75,false
77,false
62,false
64,true
73,false
68,false
79,false
70,false
65,false
66,false
84,false
54,false
63,false
74,true
58,true
78,false
58,false
78,false
54,false
78,false
72,false
76,false
55,false
80,false
84,false
69,false
71,true
86,false
68,false
80,false
73,true
62,false
65,false
70,false
84,true
69,false
84,false
57,false
66,false
75,false
76,false
86,false
85,true
60,false
72,false
62,false
61,false
72,true
82,true
88,false
90,true
79,false
80,true
64,false
64,false
54,true
78,true
74,true
75,true
66,true
68,false
63,false
92,false
61,false
55,false
64,false
74,false
73,true
68,false
77,false
75,true
61,false
79,false
75,false
78,true
63,false
62,false
87,true
66,false
61,false
59,false
65,false
66,false
93,true
74,false
54,false
65,false
77,true
93,false
87,false
78,false
57,false
86,false
91,false
63,false
68,false
86,false
75,false
68,false
66,false
62,false
63,false
73,true
62,false
90,false
87,false
58,false
55,false
88,true
60,true
60,true
67,true
67,false
72,false
64,false
69,true
70,false
54,false
55,true
80,false
66,false
71,false
70,true
95,false
59,false
82,false
55,false
74,false
73,false
82,true
66,true
70,false
81,false
79,true
81,false
80,false
93,false
74,true
63,false
75,true
85,true
94,false
87,false
73,false
66,false
68,false
59,false
83,true
54,false
61,false
64,false
62,false
73,false
61,false
74,false
63,false
69,false
72,true
80,false
65,false
72,false
75,false
75,false
69,true
75,false
88,true
63,false
82,false
72,true
56,false
57,false
77,false
64,true
76,true
64,true
97,false
66,false
84,false
80,true
64,false
67,false
74,false
72,false
76,false
93,false
64,false
81,false
67,true
69,false
80,false
54,false
56,false
83,false
72,false
84,false
83,true
54,false
75,false
68,true
57,false
81,false
74,false
82,true
89,true
82,false
65,false
67,true
84,false
85,true
74,false
70,false
55,false
64,false
66,false
64,false
71,false
58,false
78,false
83,true
64,false
68,false
57,false
84,false
61,false
61,false
75,false
62,false
64,false
92,true
77,false
69,false
72,false
64,true
81,false
71,false
73,true
85,false
79,false
78,true
57,true
68,false
92,false
76,false
84,true
64,true
83,true
61,false
67,true
86,false
74,false
76,false
88,false
63,false
76,false
62,false
79,false
72,true
89,true
68,false
84,false
64,false
67,false
76,false
77,false
69,true
67,false
87,true
82,true
70,false
75,false
99,true
83,false
76,false
65,false
97,false
72,false
88,true
54,false
86,false
75,false
75,true
72,false
75,false
69,false
85,true
56,false
81,false
63,false
89,true
74,false
76,false
56,false
73,false
62,false
65,false
85,true
84,false
75,false
71,false
56,false
75,false
81,false
60,false
88,false
76,false
68,true
72,false
57,true
55,false
68,false
95,true
74,false
75,true
58,false
63,false
58,false
60,true
70,false
63,false
86,false
88,false
68,false
87,true
63,false
67,true
81,true
79,false
68,true
73,true
71,false
54,false
59,false
88,true
86,true
65,false
83,false
81,false
70,true
71,false
69,false
100,false
58,false
64,true
65,true
77,false
66,true
60,false
60,false
79,false
81,false
73,false
61,false
68,false
63,false
76,true
67,false
55,false
65,false
74,false
62,false
59,false
62,true
101,true
75,false
54,false
88,false
54,false
66,false
68,false
65,false
78,false
55,false
68,false
57,false
76,false
58,false
74,false
54,true
72,false
55,false
59,false
87,false
57,false
76,false
87,false
63,false
73,false
62,false
61,false
83,true
74,false
71,false
69,true
77,false
90,false
83,false
69,false
92,true
83,false
75,false
71,false
87,false
70,false
79,false
70,false
82,false
90,false
82,false
73,false
55,false
87,false
81,false
79,false
74,false
81,false
61,false
61,false
86,false
69,false
85,false
68,false
64,false
83,false
64,false
87,false
57,false
91,true
65,false
80,false
55,false
65,false
77,true
63,false
61,false
89,false
75,true
73,true
67,false
58,false
84,false
79,false
64,false
84,true
57,false
74,false
70,false
80,true
58,false
74,false
54,false
82,false
56,false
87,false
77,false
99,false
76,false
87,false
70,false
63,true
62,false
57,false
68,true
90,false
83,false
58,false
93,true
64,false
89,false
68,false
64,false
93,false
88,true
84,false
87,false
54,false
79,true
64,false
64,false
81,false
79,false
68,false
90,true
77,true
62,false
85,false
91,true
71,false
87,true
63,false
58,true
80,false
90,false
92,false
77,false
68,true
54,false
72,false
78,false
72,false
67,false
55,false
68,false
54,false
60,false
77,false
63,false
67,false
88,false
57,false
71,true
79,true
63,false
68,false
63,false
74,false
69,false
63,false
56,true
77,false
77,false
80,false
76,false
61,false
70,true
68,false
81,false
54,false
72,false
81,false
73,false
87,false
65,false
87,false
71,false
64,false
60,false
61,false
55,false
79,true
72,true
66,false
69,false
80,false
70,false
94,true
60,false
55,false
63,false
66,false
77,false
58,false
82,false
74,false
66,true
54,false
60,false
91,true
56,false
84,false
68,true
72,false
66,false
65,false
68,true
83,false
68,false
84,false
81,true
65,false
70,false
77,true
81,false
94,false
58,false
63,false
61,false
56,true
64,true
56,false
60,false
66,false
65,true
75,false
64,false
73,true
55,false
79,true
66,false
85,true
58,false
55,true
57,false
78,false
85,false
87,false
87,true
86,false
75,true
62,false
74,false
73,true
58,false
66,false
83,false
61,false
96,true
76,false
54,false
74,true
95,false
82,false
76,false
80,false
84,false
61,false
76,false
79,false
90,false
85,false
79,false
62,false
73,false
81,false
77,false
72,false
78,false
75,false
67,false
59,false
60,false
73,false
69,false
89,false
62,false
54,false
83,true
73,false
57,true
55,false
86,false
83,false
67,true
83,true
86,false
68,false
92,false
55,false
60,true
76,false
64,false
83,false
59,true
91,true
74,false
61,false
86,true
65,false
83,false
79,false
61,false
74,true
65,false
56,false
89,false
78,false
95,false
67,false
60,false
71,false
76,false
76,false
56,false
58,false
64,true
59,false
65,false
61,false
80,false
59,false
70,false
88,false
84,false
77,false
78,true
58,false
73,true
95,false
54,false
76,false
85,true
78,false
82,false
92,false
72,false
58,false
91,false
85,true
88,false
58,false
83,false
78,true
73,false
61,false
85,true
88,true
66,false
78,true
62,false
70,false
65,false
76,false
81,false
64,false
67,false
68,false
64,false
61,false
54,false
56,false
74,false
59,false
89,false
60,false
62,false
83,false
80,false
71,false
69,true
63,false
74,false
64,false
87,false
80,false
57,false
70,false
73,false
80,false
87,false
81,false
54,false
86,false
59,false
86,false
73,false
57,false
62,false
91,false
56,false
75,false
85,false
80,false
71,false
87,false
59,false
82,false
74,true
69,true
57,true
90,true
55,false
58,false
81,false
71,false
56,false
76,false
59,false
85,false
90,true
58,true
63,false
79,false
74,false
63,true
80,false
59,false
84,false
68,false
63,false
77,false
78,false
60,false
72,true
65,false
88,false
99,false
59,true
70,false
70,true
73,false
75,false
73,false
91,false
90,false
92,false
85,true
88,true
78,false
73,false
81,false
72,false
69,false
55,false
66,true
69,false
60,false
78,false
56,true
81,false
67,false
56,false
70,false
55,false
56,false
86,false
56,true
82,false
82,false
92,false
54,true
87,false
67,false
59,false
62,true
79,false
56,false
85,true
55,false
78,true
55,true
64,false
71,true
78,false
74,true
56,false
60,false
77,false
68,false
76,true
88,false
90,true
72,false
86,false
59,false
79,false
86,false
71,false
69,false
88,false
54,false
57,true
68,false
83,false
69,true
71,false
77,false
74,false
88,false
79,false
62,false
86,false
69,false
65,false
58,false
70,false
92,false
78,false
81,false
75,true
82,true
79,false
59,true
84,false
65,false
61,false
84,false
69,false
85,false
68,false
69,true
59,false
94,true
58,false
75,false
69,true
74,false
87,true
75,true
58,false
72,true
66,true
54,false
84,true
88,false
74,false
61,true
64,false
83,false
81,false
71,false
78,false
68,false
72,false
71,false
81,false
81,false
77,false
74,false
84,false
65,false
90,false
70,false
70,false
85,false
93,false
72,true
69,true
74,false
56,false
68,true
75,false
79,false
70,true
65,false
83,false
79,false
60,false
65,false
73,true
91,false
56,false
78,false
60,false
66,false
56,false
56,false
72,false
75,false
77,false
86,false
76,true
82,false
71,false
72,false
64,false
69,false
86,false
77,false
94,false
82,true
77,false
63,false
80,true
75,false
64,true
61,false
61,true
82,false
56,false
60,false
76,false
57,false
95,false
74,false
90,true
68,false
75,false
79,false
59,false
77,false
70,false
96,true
78,false
88,false
95,false
79,false
87,false
56,false
72,false
85,false
66,false
64,false
68,false
96,true
75,false
83,false
76,false
70,false
87,true
88,false
94,false
83,false
84,false
99,false
83,false
72,false
72,true
60,false
63,false
68,false
77,false
81,false
81,false
73,false
70,false
76,false
83,false
62,false
86,false
81,false
88,true
64,false
62,true
67,true
80,false
57,false
70,true
55,false
63,false
95,false
72,false
75,true
70,false
92,true
69,false
89,false
89,true
77,false
64,true
81,false
75,false
90,false
56,true
74,false
77,false
74,false
72,true
55,false
56,false
97,false
69,true
94,false
66,false
80,true
66,false
88,true
65,false
81,true
65,false
58,false
75,false
67,true
92,false
71,false
83,false
81,true
77,true
80,true
91,false
83,false
66,false
74,true
98,false
55,true
93,true
87,true
75,true
78,false
72,false
78,false
59,true
61,false
56,false
70,false
88,false
70,false
70,false
84,false
84,true
73,true
59,true
65,false
61,true
63,true
86,false
62,false
76,false
75,false
71,false
75,true
80,false
63,true
60,false
71,true
65,false
71,false
64,false
84,true
62,false
80,false
55,true
92,false
80,false
68,false
73,false
84,false
75,false
80,true
67,true
71,true
69,false
73,false
71,false
84,false
61,false
85,false
86,false
63,false
88,false
93,true
76,true
62,false
80,false
76,false
55,false
83,true
74,true
66,false
66,false
80,false
87,false
66,false
60,false
69,false
63,false
69,false
74,false
56,false
61,false
79,false
68,false
77,true
76,false
91,false
65,true
69,true
88,true
84,false
77,false
60,false
74,false
63,true
71,false
87,false
83,false
82,false
73,false
77,false
60,true
64,false
64,true
63,false
91,true
91,false
69,true
69,false
82,false
85,false
63,false
55,false
54,false
90,false
83,true
83,true
74,false
57,false
80,false
90,false
79,true
71,false
85,true
58,false
61,false
80,true
79,true
85,false
87,false
86,false
88,false
66,false
70,false
83,false
85,true
90,true
75,false
60,false
86,false
68,false
59,false
88,false
62,true
88,false
70,false
82,false
76,true
60,false
58,false
64,false
78,false
67,false
69,false
54,false
66,false
76,false
63,false
70,false
88,false
57,false
84,false
54,false
62,false
94,true
63,false
84,false
88,true
61,false
84,true
76,false
77,false
64,false
71,false
62,false
63,false
81,false
63,false
77,false
90,true
79,false
64,true
60,false
60,false
70,true
70,false
87,true
79,true
93,false
56,false
64,false
72,true
79,false
82,false
68,false
82,false
57,true
80,false
59,true
91,true
89,false
79,false
80,false
54,false
72,false
78,true
58,false
76,false
81,false
67,false
70,true
64,false
84,false
59,false
89,false
55,true
59,false
92,false
59,false
83,false
65,false
83,false
70,false
92,true
79,false
78,false
66,false
86,true
57,false
78,false
60,false
75,false
87,false
70,false
73,false
90,false
72,false
70,false
86,true
70,false
65,false
91,false
63,false
94,true
89,false
70,false
98,false
78,true
85,false
81,true
71,false
62,false
64,false
72,false
56,false
63,false
77,false
75,false
81,true
83,true
54,false
87,false
68,false
86,false
85,false
67,false
71,false
87,false
77,false
68,false
59,false
87,true
81,false
71,false
58,true
66,true
87,false
69,true
72,false
57,false
79,true
82,false
86,true
73,false
91,false
82,true
54,false
86,true
58,false
78,false
62,false
62,false
61,false
86,false
73,false
77,false
66,false
54,true
70,false
78,false
74,true
73,false
71,false
66,false
75,false
58,false
79,false
71,false
72,true
77,false
74,false
90,true
58,false
81,false
67,false
77,true
84,false
70,false
78,false
61,false
57,false
76,true
75,false
72,false
69,false
68,true
76,false
60,false
84,false
62,false
77,true
75,false
68,false
80,false
70,false
81,false
74,false
88,false
85,false
77,false
83,false
76,false
66,false
87,false
75,false
54,false
90,false
54,false
65,false
87,false
70,false
77,false
88,true
85,true
65,false
57,false
89,false
85,false
76,false
73,true
54,false
67,false
70,false
78,true
77,true
72,false
82,false
72,false
68,true
68,false
81,false
63,false
75,false
71,false
76,true
81,false
83,true
61,false
67,false
78,false
92,false
62,false
70,false
84,false
54,false
72,false
64,false
54,false
56,false
73,true
76,true
57,false
83,false
54,true
79,false
75,false
78,false
73,false
80,true
79,false
66,true
73,false
59,true
62,false
68,false
80,true
72,false
70,false
82,true
72,false
59,false
83,false
82,false
74,false
61,false
81,false
85,false
85,false
83,false
88,true
65,false
101,true
89,false
63,true
57,false
89,true
55,false
69,false
67,false
71,false
63,true
68,true
59,false
62,false
75,false
62,true
57,true
70,false
69,false
55,false
56,false
66,false
72,false
74,false
86,true
72,false
92,false
70,false
68,true
88,false
73,true
65,true
74,false
61,false
78,false
87,true
63,false
78,false
62,false
94,false
76,false
74,false
73,false
67,false
89,true
81,true
92,false
81,false
55,true
88,false
59,false
54,false
85,false
56,true
87,false
54,false
68,false
81,false
79,false
61,false
71,false
69,false
78,false
58,false
82,false
92,true
85,false
91,false
55,false
58,false
58,false
85,false
75,false
54,false
81,true
58,false
75,false
84,true
70,false
57,true
79,true
70,true
84,true
74,false
57,false
77,true
65,false
89,false
71,true
66,false
62,false
71,true
68,false
60,false
84,true
83,false
82,false
81,false
67,false
67,false
88,true
57,false
75,true
81,false
69,false
63,false
54,false
86,false
86,false
69,false
70,true
69,false
73,true
83,false
77,false
77,false
79,false
64,false
85,false
56,false
73,false
67,true
63,true
64,false
74,false
71,true
70,true
92,true
89,false
79,false
67,false
59,false
66,false
59,false
85,false
75,false
84,true
55,false
67,false
83,false
55,false
72,false
67,false
84,true
79,false
79,true
74,false
61,false
75,false
66,false
70,true
82,false
71,false
73,false
73,false
65,true
84,false
83,true
75,true
68,true
98,true
62,false
64,false
80,false
64,false
74,false
55,false
66,false
84,false
57,true
85,false
66,false
70,false
61,false
96,true
63,true
63,false
87,false
67,false
62,false
72,false
87,false
74,true
80,false
78,false
55,false
68,false
64,true
85,false
68,false
84,false
67,false
58,false
94,false
92,false
66,false
57,false
70,false
64,true
87,false
88,false
56,false
58,false
73,false
67,false
80,false
73,true
57,false
97,false
83,false
96,true
75,false
72,false
75,false
79,true
73,false
90,false
69,false
78,true
86,true
78,false
54,false
74,false
80,false
55,false
67,false
76,false
74,true
80,false
73,false
78,false
58,false
74,false
86,false
61,false
77,true
68,false
77,true
70,false
57,false
54,false
80,false
68,true
69,true
85,false
62,false
79,true
64,false
80,false
74,false
72,true
76,false
61,false
84,false
67,false
62,false
81,true
91,false
68,false
63,false
69,false
88,true
59,true
62,false
63,false
55,false
68,false
75,false
69,false
85,true
83,false
54,false
91,false
79,false
61,false
62,false
80,false
78,false
79,false
54,false
88,true
66,false
83,false
69,false
76,false
68,false
58,false
87,false
65,false
62,false
76,true
68,false
87,false
71,false
74,false
79,false
73,false
70,false
58,false
72,false
77,false
84,true
76,false
81,true
57,false
92,false
76,false
63,false
66,false
70,false
55,false
68,false
57,false
78,false
64,false
76,false
80,false
56,false
67,false
74,false
79,true
89,false
72,false
85,true
79,false
72,false
82,false
65,false
57,true
71,false
63,false
60,false
58,false
87,false
65,false
56,false
72,false
57,false
69,false
72,false
74,false
66,false
62,false
71,false
55,false
62,false
86,false
59,false
77,true
65,false
83,true
63,false
87,false
85,false
81,false
79,false
54,false
82,true
56,false
68,false
87,false
59,false
68,false
55,true
87,false
76,true
83,false
96,true
80,false
90,false
68,true
65,false
64,false
83,true
63,false
56,true
61,false
85,false
67,false
63,true
70,false
99,false
66,false
61,false
73,false
57,true
59,false
84,false
56,false
96,true
83,false
58,false
72,false
68,false
70,false
72,false
71,false
82,true
57,false
84,false
87,false
85,false
66,false
79,false
63,false
68,false
76,false
59,false
83,true
86,false
74,true
71,false
91,false
54,false
58,false
74,false
60,true
58,false
90,true
59,true
72,false
65,false
78,false
75,false
66,false
84,false
59,true
73,false
84,true
55,true
89,false
79,false
54,false
70,false
82,false
65,false
75,false
96,false
56,false
78,false
56,true
57,false
65,true
74,false
90,true
83,false
57,false
84,false
79,false
87,false
79,false
62,false
58,false
59,false
56,false
69,true
63,true
63,false
58,false
69,true
67,false
60,false
90,false
